county,precinct,office,district,party,candidate,absentee,polling,votes
Adair,1NW,U.S. Senate,,Republican Party,Joni Ernst,138.0,286.0,424.0
Adair,2NE,U.S. Senate,,Republican Party,Joni Ernst,147.0,212.0,359.0
Adair,3SW,U.S. Senate,,Republican Party,Joni Ernst,188.0,246.0,434.0
Adair,4SE,U.S. Senate,,Republican Party,Joni Ernst,163.0,206.0,369.0
Adair,5GF,U.S. Senate,,Republican Party,Joni Ernst,174.0,207.0,381.0
Adair,,U.S. Senate,,Republican Party,Joni Ernst,,,1967.0
Adams,Adams 1,U.S. Senate,,Republican Party,Joni Ernst,74.0,118.0,192.0
Adams,Adams 2,U.S. Senate,,Republican Party,Joni Ernst,76.0,131.0,207.0
Adams,Adams 3,U.S. Senate,,Republican Party,Joni Ernst,86.0,141.0,227.0
Adams,Adams 4,U.S. Senate,,Republican Party,Joni Ernst,148.0,100.0,248.0
Adams,Adams 5,U.S. Senate,,Republican Party,Joni Ernst,123.0,114.0,237.0
Adams,,U.S. Senate,,Republican Party,Joni Ernst,,,1111.0
Allamakee,Pct 1 - WL/HV,U.S. Senate,,Republican Party,Joni Ernst,30.0,42.0,72.0
Allamakee,Pct 10 - Waukon 2,U.S. Senate,,Republican Party,Joni Ernst,91.0,123.0,214.0
Allamakee,Pct 11 - Waukon 3,U.S. Senate,,Republican Party,Joni Ernst,137.0,104.0,241.0
Allamakee,Pct 2 - FC/JF/LL/MK/UP,U.S. Senate,,Republican Party,Joni Ernst,274.0,294.0,568.0
Allamakee,Pct 3 - PO/FK,U.S. Senate,,Republican Party,Joni Ernst,79.0,83.0,162.0
Allamakee,Pct 4 - PV City,U.S. Senate,,Republican Party,Joni Ernst,59.0,136.0,195.0
Allamakee,Pct 5 - LT/PC/WV City,U.S. Senate,,Republican Party,Joni Ernst,71.0,124.0,195.0
Allamakee,Pct 6 - FV/TL/HF City,U.S. Senate,,Republican Party,Joni Ernst,66.0,98.0,164.0
Allamakee,Pct 7 - CN/LF/LS/LS City,U.S. Senate,,Republican Party,Joni Ernst,145.0,238.0,383.0
Allamakee,Pct 8 - IA/UC/NA City,U.S. Senate,,Republican Party,Joni Ernst,61.0,180.0,241.0
Allamakee,Pct 9 - Waukon 1,U.S. Senate,,Republican Party,Joni Ernst,181.0,146.0,327.0
Allamakee,,U.S. Senate,,Republican Party,Joni Ernst,,,2762.0
Appanoose,Bellair/Lincoln,U.S. Senate,,Republican Party,Joni Ernst,51.0,85.0,136.0
Appanoose,Caldwell Township,U.S. Senate,,Republican Party,Joni Ernst,20.0,74.0,94.0
Appanoose,Centerville Ward 1,U.S. Senate,,Republican Party,Joni Ernst,128.0,202.0,330.0
