county,precinct,office,district,party,candidate,votes,election_day,absentee
Sioux,Alton/ Nassau/ East Orange,State Representative,4,Republican,John Kooiker,91,87,4
Sioux,Alton/ Nassau/ East Orange,State Representative,4,Democrat,John Buntsma,52,48,4
Sioux,Alton/ Nassau/ East Orange,State Representative,4,(write in candidate),Dennis Wright,11,10,1
Sioux,Alton/ Nassau/ East Orange,State Representative,4,,Write-In,0,0,0
Sioux,HW/ BC/ LG/ WA/ EG S,State Representative,4,Republican,John Kooiker,108,107,1
Sioux,HW/ BC/ LG/ WA/ EG S,State Representative,4,Democrat,John Buntsma,55,55,0
Sioux,HW/ BC/ LG/ WA/ EG S,State Representative,4,(write in candidate),Dennis Wright,28,25,3
Sioux,HW/ BC/ LG/ WA/ EG S,State Representative,4,,Write-In,0,0,0
Sioux,Lincoln,State Representative,4,Republican,John Kooiker,207,206,1
Sioux,Lincoln,State Representative,4,Democrat,John Buntsma,19,19,0
Sioux,Lincoln,State Representative,4,(write in candidate),Dennis Wright,279,273,6
Sioux,Lincoln,State Representative,4,,Write-In,0,0,0
Sioux,OC 1/Holland West,State Representative,4,Republican,John Kooiker,262,238,24
Sioux,OC 1/Holland West,State Representative,4,Democrat,John Buntsma,104,88,16
Sioux,OC 1/Holland West,State Representative,4,(write in candidate),Dennis Wright,43,36,7
Sioux,OC 1/Holland West,State Representative,4,,Write-In,4,4,0
Sioux,OC2/ Holland East/ NS 4-9,State Representative,4,Republican,John Kooiker,244,206,38
Sioux,OC2/ Holland East/ NS 4-9,State Representative,4,Democrat,John Buntsma,114,105,9
Sioux,OC2/ Holland East/ NS 4-9,State Representative,4,(write in candidate),Dennis Wright,44,39,5
Sioux,OC2/ Holland East/ NS 4-9,State Representative,4,,Write-In,0,0,0
Sioux,PL/ GF/ ST/ SX/ EG N,State Representative,4,Republican,John Kooiker,113,113,0
Sioux,PL/ GF/ ST/ SX/ EG N,State Representative,4,Democrat,John Buntsma,7,7,0
Sioux,PL/ GF/ ST/ SX/ EG N,State Representative,4,(write in candidate),Dennis Wright,19,19,0
Sioux,PL/ GF/ ST/ SX/ EG N,State Representative,4,,Write-In,0,0,0
Sioux,Reading/ Center South,State Representative,4,Republican,John Kooiker,77,71,6
Sioux,Reading/ Center South,State Representative,4,Democrat,John Buntsma,6,5,1
Sioux,Reading/ Center South,State Representative,4,(write in candidate),Dennis Wright,2,2,0
Sioux,Reading/ Center South,State Representative,4,,Write-In,0,0,0
Sioux,Rock Valley East,State Representative,4,Republican,John Kooiker,119,119,0
Sioux,Rock Valley East,State Representative,4,Democrat,John Buntsma,10,10,0
Sioux,Rock Valley East,State Representative,4,(write in candidate),Dennis Wright,94,94,0
Sioux,Rock Valley East,State Representative,4,,Write-In,1,1,0
Sioux,Rock Valley West/ Rock,State Representative,4,Republican,John Kooiker,191,189,2
Sioux,Rock Valley West/ Rock,State Representative,4,Democrat,John Buntsma,8,8,0
Sioux,Rock Valley West/ Rock,State Representative,4,(write in candidate),Dennis Wright,106,105,1
Sioux,Rock Valley West/ Rock,State Representative,4,,Write-In,2,2,0
Sioux,Sherman,State Representative,4,Republican,John Kooiker,100,95,5
Sioux,Sherman,State Representative,4,Democrat,John Buntsma,7,7,0
Sioux,Sherman,State Representative,4,(write in candidate),Dennis Wright,4,4,0
Sioux,Sherman,State Representative,4,,Write-In,0,0,0
Sioux,SCN/ Capel/ Welcome,State Representative,4,Republican,John Kooiker,154,138,16
Sioux,SCN/ Capel/ Welcome,State Representative,4,Democrat,John Buntsma,7,7,0
Sioux,SCN/ Capel/ Welcome,State Representative,4,(write in candidate),Dennis Wright,51,48,3
Sioux,SCN/ Capel/ Welcome,State Representative,4,,Write-In,0,0,0
Sioux,Sioux Center Central,State Representative,4,Republican,John Kooiker,99,95,4
Sioux,Sioux Center Central,State Representative,4,Democrat,John Buntsma,31,29,2
Sioux,Sioux Center Central,State Representative,4,(write in candidate),Dennis Wright,31,31,0
Sioux,Sioux Center Central,State Representative,4,,Write-In,2,2,0
Sioux,Sioux Center South,State Representative,4,Republican,John Kooiker,233,220,13
Sioux,Sioux Center South,State Representative,4,Democrat,John Buntsma,35,35,0
Sioux,Sioux Center South,State Representative,4,(write in candidate),Dennis Wright,114,112,2
Sioux,Sioux Center South,State Representative,4,,Write-In,2,2,0
Sioux,West Branch/ Center North,State Representative,4,Republican,John Kooiker,66,62,4
Sioux,West Branch/ Center North,State Representative,4,Democrat,John Buntsma,1,1,0
Sioux,West Branch/ Center North,State Representative,4,(write in candidate),Dennis Wright,14,14,0
Sioux,West Branch/ Center North,State Representative,4,,Write-In,0,0,0
