county,precinct,office,district,candidate,party,votes,absentee,election_day
Black Hawk,Barclay/Benn/Lester/Dunkerton,Barclay Township Trustee,,Ralph Kraus,,9,1,8
Black Hawk,Barclay/Benn/Lester/Dunkerton,Barclay Township Trustee,,Ryan N. Weber,,221,82,139
Black Hawk,Barclay/Benn/Lester/Dunkerton,Barclay Township Trustee,,Write-In,,7,3,4
Black Hawk,Barclay/Benn/Lester/Dunkerton,Bennington Township Trustee,,Marlyn Hull,,189,58,131
Black Hawk,Barclay/Benn/Lester/Dunkerton,Bennington Township Trustee,,Richard Haight,,198,62,136
Black Hawk,Barclay/Benn/Lester/Dunkerton,Bennington Township Trustee,,Write-In,,1,0,1
Black Hawk,Barclay/Benn/Lester/Dunkerton,Bennington Township Trustee To Fill a Vacancy,,Maynard B. Murch,,229,70,159
Black Hawk,Barclay/Benn/Lester/Dunkerton,Bennington Township Trustee To Fill a Vacancy,,Write-In,,0,0,0
Black Hawk,Big Creek/Spring Creek/LPC,Big Creek Township Trustee,,Gary Wilt,,115,45,70
Black Hawk,Big Creek/Spring Creek/LPC,Big Creek Township Trustee,,Michael Werner,,118,42,76
Black Hawk,Big Creek/Spring Creek/LPC,Big Creek Township Trustee,,Write-In,,1,0,1
Black Hawk,Big Creek/Spring Creek/LPC,Big Creek Township Trustee To Fill a Vacancy,,David Breher,,2,0,2
Black Hawk,Big Creek/Spring Creek/LPC,Big Creek Township Trustee To Fill a Vacancy,,Write-In,,0,0,0
Black Hawk,Black Hawk/Cedar Falls/Lincoln,Black Hawk Township Trustee,,Jeffrey K. Witt,,190,67,123
Black Hawk,Black Hawk/Cedar Falls/Lincoln,Black Hawk Township Trustee,,Stephen Moseley,,181,72,109
Black Hawk,Black Hawk/Cedar Falls/Lincoln,Black Hawk Township Trustee,,Write-In,,0,0,0
Black Hawk,Black Hawk/Cedar Falls/Lincoln,Cedar Falls Township Trustee,,Christina L. Isley,,118,52,66
