county,precinct,office,district,candidate,party,votes,absentee,election_day
Cedar,Cass-Center-Iowa-Rochester,Cass Township Trustee,,Carolyn Gritton,,4,1,3
Cedar,Cass-Center-Iowa-Rochester,Cass Township Trustee,,Steve Agne,,200,128,72
Cedar,Cass-Center-Iowa-Rochester,Cass Township Trustee,,Write-In,,2,2,0
Cedar,Cass-Center-Iowa-Rochester,Center Township Trustee,,John A. Schott,,390,221,169
Cedar,Cass-Center-Iowa-Rochester,Center Township Trustee,,Robert D. Langley,,382,203,179
Cedar,Cass-Center-Iowa-Rochester,Center Township Trustee,,Write-In,,2,2,0
Cedar,Cass-Center-Iowa-Rochester,Constitutional Amendment 1,,No,,215,129,86
Cedar,Dayton-Fairfield,Constitutional Amendment 1,,No,,139,61,78
Cedar,Farmington-Sugar Creek,Constitutional Amendment 1,,No,,268,92,176
Cedar,Fremont-Red Oak,Constitutional Amendment 1,,No,,106,42,64
Cedar,Gower-Springdale,Constitutional Amendment 1,,No,,182,81,101
Cedar,Inland,Constitutional Amendment 1,,No,,45,11,34
Cedar,Linn-Pioneer,Constitutional Amendment 1,,No,,195,56,139
Cedar,Massillon-Springfield,Constitutional Amendment 1,,No,,102,26,76
Cedar,Tipton 1,Constitutional Amendment 1,,No,,78,40,38
Cedar,Tipton 2,Constitutional Amendment 1,,No,,90,62,28
Cedar,Tipton 3,Constitutional Amendment 1,,No,,86,46,40
Cedar,West Branch 1,Constitutional Amendment 1,,No,,348,134,214
Cedar,Cass-Center-Iowa-Rochester,Constitutional Amendment 1,,Yes,,1044,605,439
Cedar,Dayton-Fairfield,Constitutional Amendment 1,,Yes,,557,201,356
Cedar,Farmington-Sugar Creek,Constitutional Amendment 1,,Yes,,1124,326,798
Cedar,Fremont-Red Oak,Constitutional Amendment 1,,Yes,,395,132,263
Cedar,Gower-Springdale,Constitutional Amendment 1,,Yes,,520,242,278
Cedar,Inland,Constitutional Amendment 1,,Yes,,303,79,224
Cedar,Linn-Pioneer,Constitutional Amendment 1,,Yes,,793,270,523
Cedar,Massillon-Springfield,Constitutional Amendment 1,,Yes,,557,196,361
Cedar,Tipton 1,Constitutional Amendment 1,,Yes,,335,217,118
Cedar,Tipton 2,Constitutional Amendment 1,,Yes,,332,201,131
Cedar,Tipton 3,Constitutional Amendment 1,,Yes,,412,244,168
Cedar,West Branch 1,Constitutional Amendment 1,,Yes,,1041,449,592
Cedar,Cass-Center-Iowa-Rochester,Constitutional Amendment 2,,No,,162,108,54
Cedar,Dayton-Fairfield,Constitutional Amendment 2,,No,,100,42,58
Cedar,Farmington-Sugar Creek,Constitutional Amendment 2,,No,,203,62,141
Cedar,Fremont-Red Oak,Constitutional Amendment 2,,No,,76,24,52
Cedar,Gower-Springdale,Constitutional Amendment 2,,No,,134,64,70
Cedar,Inland,Constitutional Amendment 2,,No,,52,16,36
Cedar,Linn-Pioneer,Constitutional Amendment 2,,No,,165,46,119
Cedar,Massillon-Springfield,Constitutional Amendment 2,,No,,82,26,56
Cedar,Tipton 1,Constitutional Amendment 2,,No,,73,42,31
Cedar,Tipton 2,Constitutional Amendment 2,,No,,77,54,23
Cedar,Tipton 3,Constitutional Amendment 2,,No,,81,39,42
Cedar,West Branch 1,Constitutional Amendment 2,,No,,337,145,192
