county,precinct,office,district,candidate,party,votes,absentee,election_day
Cerro Gordo,Clear Lake / Grant / Union Twps Pct,Clear Lake Sanitary District Trustee,,Mark H. Bale,,487,186,301
Cerro Gordo,Clear Lake Ward 1 -,Clear Lake Sanitary District Trustee,,Mark H. Bale,,737,319,418
Cerro Gordo,Clear Lake Ward 2 -,Clear Lake Sanitary District Trustee,,Mark H. Bale,,642,240,402
Cerro Gordo,Clear Lake Ward 3 -,Clear Lake Sanitary District Trustee,,Mark H. Bale,,717,282,435
Cerro Gordo,Clear Lake / Grant / Union Twps Pct,Clear Lake Sanitary District Trustee,,Robert Wolfram,,557,214,343
Cerro Gordo,Clear Lake Ward 1 -,Clear Lake Sanitary District Trustee,,Robert Wolfram,,819,363,456
Cerro Gordo,Clear Lake Ward 2 -,Clear Lake Sanitary District Trustee,,Robert Wolfram,,831,337,494
Cerro Gordo,Clear Lake Ward 3 -,Clear Lake Sanitary District Trustee,,Robert Wolfram,,879,333,546
Cerro Gordo,Clear Lake / Grant / Union Twps Pct,Clear Lake Sanitary District Trustee,,Write-In,,6,4,2
Cerro Gordo,Clear Lake Ward 1 -,Clear Lake Sanitary District Trustee,,Write-In,,9,2,7
Cerro Gordo,Clear Lake Ward 2 -,Clear Lake Sanitary District Trustee,,Write-In,,6,3,3
Cerro Gordo,Clear Lake Ward 3 -,Clear Lake Sanitary District Trustee,,Write-In,,17,7,10
Cerro Gordo,Clear Lake / Grant / Union Twps Pct,Clear Lake Township Trustee,,Marsha Doebel,,3,2,1
Cerro Gordo,Clear Lake / Grant / Union Twps Pct,Clear Lake Township Trustee,,Paul A. Menke,,382,170,212
Cerro Gordo,Clear Lake / Grant / Union Twps Pct,Clear Lake Township Trustee,,Write-In,,17,7,10
Cerro Gordo,Clear Lake / Grant / Union Twps Pct,Constitutional Amendment 1,,No,,239,80,159
Cerro Gordo,Clear Lake Ward 1 -,Constitutional Amendment 1,,No,,273,120,153
Cerro Gordo,Clear Lake Ward 2 -,Constitutional Amendment 1,,No,,233,110,123
Cerro Gordo,Clear Lake Ward 3 -,Constitutional Amendment 1,,No,,292,118,174
Cerro Gordo,Falls Twp Pct,Constitutional Amendment 1,,No,,104,37,67
Cerro Gordo,Geneseo / Dougherty Twps Pct,Constitutional Amendment 1,,No,,138,32,106
Cerro Gordo,Grimes Twp Pct,Constitutional Amendment 1,,No,,69,14,55
Cerro Gordo,Lake / Lincoln Twps Pct,Constitutional Amendment 1,,No,,67,30,37
Cerro Gordo,Lime Creek / Mason North Twps Pct,Constitutional Amendment 1,,No,,71,32,39
Cerro Gordo,Mason City W-1 P-1,Constitutional Amendment 1,,No,,114,68,46
Cerro Gordo,Mason City W-1 P-2,Constitutional Amendment 1,,No,,225,100,125
Cerro Gordo,Mason City W-1 P-3,Constitutional Amendment 1,,No,,271,124,147
Cerro Gordo,Mason City W-2 P-1,Constitutional Amendment 1,,No,,143,70,73
Cerro Gordo,Mason City W-2 P-2,Constitutional Amendment 1,,No,,295,161,134
Cerro Gordo,Mason City W-2 P-3,Constitutional Amendment 1,,No,,176,58,118
Cerro Gordo,Mason City W-3 P-1,Constitutional Amendment 1,,No,,235,113,122
Cerro Gordo,Mason City W-3 P-2,Constitutional Amendment 1,,No,,166,71,95
Cerro Gordo,Mason City W-3 P-3,Constitutional Amendment 1,,No,,341,179,162
Cerro Gordo,Mason City W-4 P-1,Constitutional Amendment 1,,No,,140,68,72
Cerro Gordo,Mason City W-4 P-2,Constitutional Amendment 1,,No,,191,75,116
Cerro Gordo,Mason City W-4 P-3,Constitutional Amendment 1,,No,,226,126,100
Cerro Gordo,Mason South / Bath / Portland / Owen Twps Pct,Constitutional Amendment 1,,No,,145,63,82
Cerro Gordo,Mt Vernon / Pleasant Valley Twps Pct,Constitutional Amendment 1,,No,,69,13,56
Cerro Gordo,Clear Lake / Grant / Union Twps Pct,Constitutional Amendment 1,,Yes,,1021,365,656
Cerro Gordo,Clear Lake Ward 1 -,Constitutional Amendment 1,,Yes,,1157,512,645
Cerro Gordo,Clear Lake Ward 2 -,Constitutional Amendment 1,,Yes,,1067,430,637
Cerro Gordo,Clear Lake Ward 3 -,Constitutional Amendment 1,,Yes,,1113,421,692
