county,precinct,office,district,candidate,party,votes,absentee,election_day
Decatur,Lamoni,Bloomington Township Trustee,,Dick Ballantyne,,76,37,39
Decatur,Lamoni,Bloomington Township Trustee,,Kyle Leonard,,75,34,41
Decatur,Lamoni,Bloomington Township Trustee,,Write-In,,0,0,0
Decatur,Davis,Burrell Township Trustee,,Aaron Perkins,,59,21,38
Decatur,Davis,Burrell Township Trustee,,Andrew Yoder,,85,26,59
Decatur,Davis,Burrell Township Trustee,,Write-In,,4,0,4
Decatur,Leon,Center Township Clerk To Fill a Vacancy,,Juanita Yutzy,,145,50,95
Decatur,Leon,Center Township Clerk To Fill a Vacancy,,Write-In,,0,0,0
Decatur,Leon,Center Township Trustee,,Robert Bixby,,104,37,67
Decatur,Leon,Center Township Trustee,,Terry Bundt,,125,42,83
Decatur,Leon,Center Township Trustee,,Write-In,,0,0,0
Decatur,Davis,Constitutional Amendment 1,,No,,133,60,73
Decatur,Lamoni,Constitutional Amendment 1,,No,,208,59,149
Decatur,Leon,Constitutional Amendment 1,,No,,228,94,134
Decatur,Van Wert,Constitutional Amendment 1,,No,,140,43,97
Decatur,Davis,Constitutional Amendment 1,,Yes,,472,199,273
Decatur,Lamoni,Constitutional Amendment 1,,Yes,,738,203,535
Decatur,Leon,Constitutional Amendment 1,,Yes,,957,402,555
Decatur,Van Wert,Constitutional Amendment 1,,Yes,,567,207,360
Decatur,Davis,Constitutional Amendment 2,,No,,89,38,51
Decatur,Lamoni,Constitutional Amendment 2,,No,,154,43,111
Decatur,Leon,Constitutional Amendment 2,,No,,127,54,73
Decatur,Van Wert,Constitutional Amendment 2,,No,,91,32,59
Decatur,Davis,Constitutional Amendment 2,,Yes,,504,215,289
Decatur,Lamoni,Constitutional Amendment 2,,Yes,,772,215,557
Decatur,Leon,Constitutional Amendment 2,,Yes,,1039,431,608
Decatur,Van Wert,Constitutional Amendment 2,,Yes,,604,212,392
Decatur,Davis,County Agricultural Extension Council Member,,Britany Braun,,309,112,197
Decatur,Lamoni,County Agricultural Extension Council Member,,Britany Braun,,472,151,321
Decatur,Leon,County Agricultural Extension Council Member,,Britany Braun,,642,271,371
Decatur,Van Wert,County Agricultural Extension Council Member,,Britany Braun,,391,129,262
Decatur,Davis,County Agricultural Extension Council Member,,Julia J. Van Laar,,389,143,246
Decatur,Lamoni,County Agricultural Extension Council Member,,Julia J. Van Laar,,526,164,362
Decatur,Leon,County Agricultural Extension Council Member,,Julia J. Van Laar,,804,342,462
Decatur,Van Wert,County Agricultural Extension Council Member,,Julia J. Van Laar,,468,157,311
Decatur,Davis,County Agricultural Extension Council Member,,Noah Thomas,,364,140,224
Decatur,Lamoni,County Agricultural Extension Council Member,,Noah Thomas,,475,144,331
Decatur,Leon,County Agricultural Extension Council Member,,Noah Thomas,,771,323,448
Decatur,Van Wert,County Agricultural Extension Council Member,,Noah Thomas,,413,144,269
Decatur,Davis,County Agricultural Extension Council Member,,Randi Elliott,,339,120,219
