county,precinct,office,district,candidate,party,votes,absentee,election_day
Des Moines,CONCORDIA TWP,Constitutional Amendment 1,,No,,90,40,50
Des Moines,PCT 1,Constitutional Amendment 1,,No,,298,156,142
Des Moines,PCT 2,Constitutional Amendment 1,,No,,217,115,102
Des Moines,PCT 3,Constitutional Amendment 1,,No,,189,105,84
Des Moines,PCT 4,Constitutional Amendment 1,,No,,288,159,129
Des Moines,PCT 5,Constitutional Amendment 1,,No,,222,100,122
Des Moines,PCT 6,Constitutional Amendment 1,,No,,137,57,80
Des Moines,PCT 7,Constitutional Amendment 1,,No,,282,149,133
Des Moines,PCT 8,Constitutional Amendment 1,,No,,335,163,172
Des Moines,PCT BHJ,Constitutional Amendment 1,,No,,149,69,80
Des Moines,PCT DM,Constitutional Amendment 1,,No,,171,44,127
Des Moines,PCT FM,Constitutional Amendment 1,,No,,261,140,121
Des Moines,PCT MYF,Constitutional Amendment 1,,No,,262,77,185
Des Moines,PCT PW,Constitutional Amendment 1,,No,,84,22,62
Des Moines,PCT UNION,Constitutional Amendment 1,,No,,67,39,28
Des Moines,PCT WB,Constitutional Amendment 1,,No,,247,100,147
Des Moines,TAMA TWP,Constitutional Amendment 1,,No,,102,78,24
Des Moines,CONCORDIA TWP,Constitutional Amendment 1,,Yes,,289,141,148
Des Moines,PCT 1,Constitutional Amendment 1,,Yes,,1298,685,613
Des Moines,PCT 2,Constitutional Amendment 1,,Yes,,737,365,372
Des Moines,PCT 3,Constitutional Amendment 1,,Yes,,969,526,443
Des Moines,PCT 4,Constitutional Amendment 1,,Yes,,1134,662,472
Des Moines,PCT 5,Constitutional Amendment 1,,Yes,,815,372,443
Des Moines,PCT 6,Constitutional Amendment 1,,Yes,,527,253,274
Des Moines,PCT 7,Constitutional Amendment 1,,Yes,,1047,537,510
Des Moines,PCT 8,Constitutional Amendment 1,,Yes,,1389,745,644
Des Moines,PCT BHJ,Constitutional Amendment 1,,Yes,,576,233,343
Des Moines,PCT DM,Constitutional Amendment 1,,Yes,,695,240,455
Des Moines,PCT FM,Constitutional Amendment 1,,Yes,,1101,609,492
