county,precinct,office,district,candidate,party,votes,absentee,election_day
Guthrie,Casey,Baker Township Trustee,,Bob Oberholtz,,123,68,55
Guthrie,Casey,Baker Township Trustee,,Write-In,,0,0,0
Guthrie,Casey,Bear Grove Township Trustee,,Paul Lehman,,82,37,45
Guthrie,Casey,Bear Grove Township Trustee,,Write-In,,1,0,1
Guthrie,Casey,Beaver Township Trustee,,Jerry Dickson,,66,27,39
Guthrie,Stuart,Beaver Township Trustee,,Jerry Dickson,,23,7,16
Guthrie,Casey,Beaver Township Trustee,,Matt Dickson,,78,33,45
Guthrie,Stuart,Beaver Township Trustee,,Matt Dickson,,27,7,20
Guthrie,Casey,Beaver Township Trustee,,Write-In,,1,0,1
Guthrie,Stuart,Beaver Township Trustee,,Write-In,,0,0,0
Guthrie,Bayard,Constitutional Amendment 1,,No,,103,25,78
Guthrie,Casey,Constitutional Amendment 1,,No,,172,58,114
Guthrie,Guthrie Center,Constitutional Amendment 1,,No,,275,114,161
Guthrie,Panora,Constitutional Amendment 1,,No,,271,108,163
Guthrie,Stuart,Constitutional Amendment 1,,No,,298,69,229
Guthrie,Yale,Constitutional Amendment 1,,No,,267,119,148
Guthrie,Bayard,Constitutional Amendment 1,,Yes,,341,113,228
Guthrie,Casey,Constitutional Amendment 1,,Yes,,562,202,360
Guthrie,Guthrie Center,Constitutional Amendment 1,,Yes,,874,408,466
Guthrie,Panora,Constitutional Amendment 1,,Yes,,995,472,523
Guthrie,Stuart,Constitutional Amendment 1,,Yes,,890,201,689
Guthrie,Yale,Constitutional Amendment 1,,Yes,,981,453,528
Guthrie,Bayard,Constitutional Amendment 2,,No,,68,24,44
Guthrie,Casey,Constitutional Amendment 2,,No,,136,51,85
Guthrie,Guthrie Center,Constitutional Amendment 2,,No,,207,97,110
Guthrie,Panora,Constitutional Amendment 2,,No,,202,83,119
Guthrie,Stuart,Constitutional Amendment 2,,No,,233,49,184
Guthrie,Yale,Constitutional Amendment 2,,No,,188,80,108
Guthrie,Bayard,Constitutional Amendment 2,,Yes,,369,110,259
Guthrie,Casey,Constitutional Amendment 2,,Yes,,591,208,383
Guthrie,Guthrie Center,Constitutional Amendment 2,,Yes,,934,418,516
Guthrie,Panora,Constitutional Amendment 2,,Yes,,1049,490,559
Guthrie,Stuart,Constitutional Amendment 2,,Yes,,947,220,727
Guthrie,Yale,Constitutional Amendment 2,,Yes,,1049,486,563
Guthrie,Bayard,County Agricultural Extension Council Member,,Carol Wendl,,258,79,179
Guthrie,Casey,County Agricultural Extension Council Member,,Carol Wendl,,376,151,225
Guthrie,Guthrie Center,County Agricultural Extension Council Member,,Carol Wendl,,700,293,407
Guthrie,Panora,County Agricultural Extension Council Member,,Carol Wendl,,823,389,434
Guthrie,Stuart,County Agricultural Extension Council Member,,Carol Wendl,,558,125,433
Guthrie,Yale,County Agricultural Extension Council Member,,Carol Wendl,,731,339,392
Guthrie,Bayard,County Agricultural Extension Council Member,,Dwayne Seeck,,206,53,153
Guthrie,Casey,County Agricultural Extension Council Member,,Dwayne Seeck,,369,126,243
Guthrie,Guthrie Center,County Agricultural Extension Council Member,,Dwayne Seeck,,587,220,367
Guthrie,Panora,County Agricultural Extension Council Member,,Dwayne Seeck,,504,234,270
Guthrie,Stuart,County Agricultural Extension Council Member,,Dwayne Seeck,,479,100,379
Guthrie,Yale,County Agricultural Extension Council Member,,Dwayne Seeck,,554,246,308
Guthrie,Bayard,County Agricultural Extension Council Member,,Genevieve McCreary,,181,52,129
Guthrie,Casey,County Agricultural Extension Council Member,,Genevieve McCreary,,284,102,182
Guthrie,Guthrie Center,County Agricultural Extension Council Member,,Genevieve McCreary,,501,189,312
Guthrie,Panora,County Agricultural Extension Council Member,,Genevieve McCreary,,464,219,245
Guthrie,Stuart,County Agricultural Extension Council Member,,Genevieve McCreary,,485,99,386
Guthrie,Yale,County Agricultural Extension Council Member,,Genevieve McCreary,,451,205,246
