county,precinct,office,district,candidate,party,votes,absentee,election_day
Harrison,Precinct # 2 Pisgah,Allen Township Trustee,,Solomon R. Mohn,,77,22,55
Harrison,Precinct # 2 Pisgah,Allen Township Trustee,,Write-In,,3,0,3
Harrison,Precinct #6 Woodbine,Boyer Township Clerk To Fill a Vacancy,,Rebecca Colwell,,229,65,164
Harrison,Precinct #6 Woodbine,Boyer Township Clerk To Fill a Vacancy,,Write-In,,0,0,0
Harrison,Precinct #6 Woodbine,Boyer Township Trustee,,Hilary Moores,,241,68,173
Harrison,Precinct #6 Woodbine,Boyer Township Trustee,,Write-In,,2,0,2
Harrison,Precinct #5 Magnolia,Calhoun Township Trustee,,"Jim Olson, Sr.",,205,115,90
Harrison,Precinct #5 Magnolia,Calhoun Township Trustee,,Write-In,,1,0,1
Harrison,Precinct #11 Persia,Cass Township Trustee,,Lynn Dickinson,,106,51,55
Harrison,Precinct #11 Persia,Cass Township Trustee,,Write-In,,0,0,0
Harrison,Precinct #7 Modale,Cincinnati Township Trustee,,Michele Mahoney,,91,19,72
Harrison,Precinct #7 Modale,Cincinnati Township Trustee,,Write-In,,1,0,1
Harrison,Precinct #7 Modale,Cincinnati Township Trustee To Fill a Vacancy,,Sabrina Mahoney,,87,18,69
Harrison,Precinct #7 Modale,Cincinnati Township Trustee To Fill a Vacancy,,Write-In,,2,0,2
Harrison,Precinct #7 Modale,Clay Township Trustee,,Tina M. Hirst,,49,12,37
Harrison,Precinct #7 Modale,Clay Township Trustee,,Write-In,,2,1,1
Harrison,Precinct # 2 Pisgah,Constitutional Amendment 1,,No,,72,15,57
Harrison,Precinct #1 Little Sioux,Constitutional Amendment 1,,No,,23,2,21
Harrison,Precinct #10 Missouri Valley,Constitutional Amendment 1,,No,,238,69,169
Harrison,Precinct #11 Persia,Constitutional Amendment 1,,No,,117,29,88
Harrison,Precinct #3 Dunlap,Constitutional Amendment 1,,No,,129,34,95
Harrison,Precinct #4 Mondamin,Constitutional Amendment 1,,No,,83,21,62
Harrison,Precinct #5 Magnolia,Constitutional Amendment 1,,No,,128,74,54
Harrison,Precinct #6 Woodbine,Constitutional Amendment 1,,No,,218,63,155
Harrison,Precinct #7 Modale,Constitutional Amendment 1,,No,,77,21,56
Harrison,Precinct #8 Logan,Constitutional Amendment 1,,No,,278,127,151
Harrison,Precinct #9 St John,Constitutional Amendment 1,,No,,157,59,98
Harrison,Precinct # 2 Pisgah,Constitutional Amendment 1,,Yes,,234,48,186
Harrison,Precinct #1 Little Sioux,Constitutional Amendment 1,,Yes,,116,24,92
Harrison,Precinct #10 Missouri Valley,Constitutional Amendment 1,,Yes,,930,223,707
