county,precinct,office,district,candidate,party,votes,absentee,election_day
Lee,CE CH,Cedar Township Trustee,,Jeff Hoyer,,112,54,58
Lee,CE CH,Cedar Township Trustee,,R Brad Vandenberg,,105,50,55
Lee,CE CH,Cedar Township Trustee,,Write-In,,0,0,0
Lee,CE CH,Charleston Township Trustee,,Jarad Dean Weber,,279,122,157
Lee,CE CH,Charleston Township Trustee,,Rick Schiller,,309,117,192
Lee,CE CH,Charleston Township Trustee,,Write-In,,0,0,0
Lee,FM1,City of Fort Madison - Public Measure MX,,No,,183,82,101
Lee,FM2,City of Fort Madison - Public Measure MX,,No,,263,133,130
Lee,FM3,City of Fort Madison - Public Measure MX,,No,,237,114,123
Lee,FM4A,City of Fort Madison - Public Measure MX,,No,,190,95,95
Lee,FM4B,City of Fort Madison - Public Measure MX,,No,,59,48,11
Lee,FM5,City of Fort Madison - Public Measure MX,,No,,248,144,104
Lee,FM1,City of Fort Madison - Public Measure MX,,Yes,,436,218,218
Lee,FM2,City of Fort Madison - Public Measure MX,,Yes,,534,246,288
Lee,FM3,City of Fort Madison - Public Measure MX,,Yes,,552,277,275
Lee,FM4A,City of Fort Madison - Public Measure MX,,Yes,,514,247,267
Lee,FM4B,City of Fort Madison - Public Measure MX,,Yes,,166,117,49
Lee,FM5,City of Fort Madison - Public Measure MX,,Yes,,619,353,266
Lee,CE CH,Constitutional Amendment 1,,No,,157,57,100
Lee,DM JK,Constitutional Amendment 1,,No,,182,86,96
Lee,EMO,Constitutional Amendment 1,,No,,91,29,62
Lee,FM1,Constitutional Amendment 1,,No,,105,57,48
Lee,FM2,Constitutional Amendment 1,,No,,163,78,85
Lee,FM3,Constitutional Amendment 1,,No,,137,71,66
Lee,FM4A,Constitutional Amendment 1,,No,,122,60,62
Lee,FM4B,Constitutional Amendment 1,,No,,25,16,9
Lee,FM5,Constitutional Amendment 1,,No,,130,74,56
Lee,GBDNPR,Constitutional Amendment 1,,No,,141,68,73
Lee,JF WMO,Constitutional Amendment 1,,No,,103,47,56
Lee,KE1,Constitutional Amendment 1,,No,,101,50,51
Lee,KE2A,Constitutional Amendment 1,,No,,48,20,28
Lee,KE2B,Constitutional Amendment 1,,No,,18,2,16
Lee,KE3,Constitutional Amendment 1,,No,,85,33,52
Lee,KE4,Constitutional Amendment 1,,No,,64,19,45
Lee,KE5,Constitutional Amendment 1,,No,,125,60,65
Lee,KE6,Constitutional Amendment 1,,No,,84,37,47
Lee,KE7,Constitutional Amendment 1,,No,,111,49,62
Lee,MR FR,Constitutional Amendment 1,,No,,137,52,85
Lee,WP,Constitutional Amendment 1,,No,,150,72,78
Lee,WS-WS,Constitutional Amendment 1,,No,,127,58,69
Lee,CE CH,Constitutional Amendment 1,,Yes,,741,315,426
Lee,DM JK,Constitutional Amendment 1,,Yes,,925,425,500
Lee,EMO,Constitutional Amendment 1,,Yes,,466,170,296
Lee,FM1,Constitutional Amendment 1,,Yes,,471,215,256
Lee,FM2,Constitutional Amendment 1,,Yes,,594,284,310
Lee,FM3,Constitutional Amendment 1,,Yes,,597,293,304
Lee,FM4A,Constitutional Amendment 1,,Yes,,537,258,279
Lee,FM4B,Constitutional Amendment 1,,Yes,,176,129,47
Lee,FM5,Constitutional Amendment 1,,Yes,,706,405,301
Lee,GBDNPR,Constitutional Amendment 1,,Yes,,750,379,371
Lee,JF WMO,Constitutional Amendment 1,,Yes,,573,243,330
Lee,KE1,Constitutional Amendment 1,,Yes,,380,164,216
Lee,KE2A,Constitutional Amendment 1,,Yes,,230,99,131
Lee,KE2B,Constitutional Amendment 1,,Yes,,71,15,56
Lee,KE3,Constitutional Amendment 1,,Yes,,369,149,220
Lee,KE4,Constitutional Amendment 1,,Yes,,352,114,238
Lee,KE5,Constitutional Amendment 1,,Yes,,532,223,309
Lee,KE6,Constitutional Amendment 1,,Yes,,339,142,197
Lee,KE7,Constitutional Amendment 1,,Yes,,565,262,303
Lee,MR FR,Constitutional Amendment 1,,Yes,,759,269,490
Lee,WP,Constitutional Amendment 1,,Yes,,770,342,428
Lee,WS-WS,Constitutional Amendment 1,,Yes,,664,332,332
Lee,CE CH,Constitutional Amendment 2,,No,,126,42,84
Lee,DM JK,Constitutional Amendment 2,,No,,166,81,85
Lee,EMO,Constitutional Amendment 2,,No,,84,31,53
Lee,FM1,Constitutional Amendment 2,,No,,97,54,43
Lee,FM2,Constitutional Amendment 2,,No,,147,89,58
Lee,FM3,Constitutional Amendment 2,,No,,151,72,79
Lee,FM4A,Constitutional Amendment 2,,No,,100,59,41
Lee,FM4B,Constitutional Amendment 2,,No,,30,19,11
Lee,FM5,Constitutional Amendment 2,,No,,116,73,43
Lee,GBDNPR,Constitutional Amendment 2,,No,,125,55,70
Lee,JF WMO,Constitutional Amendment 2,,No,,89,41,48
Lee,KE1,Constitutional Amendment 2,,No,,87,32,55
Lee,KE2A,Constitutional Amendment 2,,No,,43,13,30
Lee,KE2B,Constitutional Amendment 2,,No,,17,2,15
Lee,KE3,Constitutional Amendment 2,,No,,75,30,45
Lee,KE4,Constitutional Amendment 2,,No,,62,27,35
Lee,KE5,Constitutional Amendment 2,,No,,102,56,46
Lee,KE6,Constitutional Amendment 2,,No,,71,34,37
Lee,KE7,Constitutional Amendment 2,,No,,97,45,52
Lee,MR FR,Constitutional Amendment 2,,No,,102,41,61
Lee,WP,Constitutional Amendment 2,,No,,115,58,57
Lee,WS-WS,Constitutional Amendment 2,,No,,127,69,58
Lee,CE CH,Constitutional Amendment 2,,Yes,,785,330,455
Lee,DM JK,Constitutional Amendment 2,,Yes,,947,435,512
Lee,EMO,Constitutional Amendment 2,,Yes,,479,168,311
Lee,FM1,Constitutional Amendment 2,,Yes,,490,223,267
Lee,FM2,Constitutional Amendment 2,,Yes,,614,276,338
Lee,FM3,Constitutional Amendment 2,,Yes,,584,291,293
Lee,FM4A,Constitutional Amendment 2,,Yes,,564,264,300
Lee,FM4B,Constitutional Amendment 2,,Yes,,178,131,47
Lee,FM5,Constitutional Amendment 2,,Yes,,725,405,320
Lee,GBDNPR,Constitutional Amendment 2,,Yes,,775,392,383
Lee,JF WMO,Constitutional Amendment 2,,Yes,,595,253,342
Lee,KE1,Constitutional Amendment 2,,Yes,,402,191,211
Lee,KE2A,Constitutional Amendment 2,,Yes,,248,110,138
Lee,KE2B,Constitutional Amendment 2,,Yes,,71,15,56
Lee,KE3,Constitutional Amendment 2,,Yes,,391,154,237
Lee,KE4,Constitutional Amendment 2,,Yes,,357,107,250
Lee,KE5,Constitutional Amendment 2,,Yes,,581,241,340
Lee,KE6,Constitutional Amendment 2,,Yes,,376,156,220
Lee,KE7,Constitutional Amendment 2,,Yes,,588,275,313
Lee,MR FR,Constitutional Amendment 2,,Yes,,796,279,517
Lee,WP,Constitutional Amendment 2,,Yes,,814,360,454
Lee,WS-WS,Constitutional Amendment 2,,Yes,,669,322,347
Lee,CE CH,County Agricultural Extension Council Member,,Addison Loges,,621,268,353
Lee,DM JK,County Agricultural Extension Council Member,,Addison Loges,,637,321,316
Lee,EMO,County Agricultural Extension Council Member,,Addison Loges,,343,127,216
Lee,FM1,County Agricultural Extension Council Member,,Addison Loges,,324,152,172
Lee,FM2,County Agricultural Extension Council Member,,Addison Loges,,398,190,208
Lee,FM3,County Agricultural Extension Council Member,,Addison Loges,,394,206,188
Lee,FM4A,County Agricultural Extension Council Member,,Addison Loges,,350,187,163
Lee,FM4B,County Agricultural Extension Council Member,,Addison Loges,,124,92,32
Lee,FM5,County Agricultural Extension Council Member,,Addison Loges,,467,269,198
Lee,GBDNPR,County Agricultural Extension Council Member,,Addison Loges,,505,279,226
Lee,JF WMO,County Agricultural Extension Council Member,,Addison Loges,,405,175,230
Lee,KE1,County Agricultural Extension Council Member,,Addison Loges,,260,123,137
Lee,KE2A,County Agricultural Extension Council Member,,Addison Loges,,131,56,75
Lee,KE2B,County Agricultural Extension Council Member,,Addison Loges,,43,10,33
Lee,KE3,County Agricultural Extension Council Member,,Addison Loges,,256,99,157
Lee,KE4,County Agricultural Extension Council Member,,Addison Loges,,217,69,148
Lee,KE5,County Agricultural Extension Council Member,,Addison Loges,,399,179,220
Lee,KE6,County Agricultural Extension Council Member,,Addison Loges,,227,98,129
Lee,KE7,County Agricultural Extension Council Member,,Addison Loges,,393,171,222
Lee,MR FR,County Agricultural Extension Council Member,,Addison Loges,,604,229,375
Lee,WP,County Agricultural Extension Council Member,,Addison Loges,,555,245,310
Lee,WS-WS,County Agricultural Extension Council Member,,Addison Loges,,440,235,205
Lee,CE CH,County Agricultural Extension Council Member,,Laura Brinck,,581,262,319
Lee,DM JK,County Agricultural Extension Council Member,,Laura Brinck,,589,302,287
Lee,EMO,County Agricultural Extension Council Member,,Laura Brinck,,329,132,197
Lee,FM1,County Agricultural Extension Council Member,,Laura Brinck,,332,156,176
Lee,FM2,County Agricultural Extension Council Member,,Laura Brinck,,400,197,203
Lee,FM3,County Agricultural Extension Council Member,,Laura Brinck,,402,212,190
Lee,FM4A,County Agricultural Extension Council Member,,Laura Brinck,,368,198,170
Lee,FM4B,County Agricultural Extension Council Member,,Laura Brinck,,127,95,32
Lee,FM5,County Agricultural Extension Council Member,,Laura Brinck,,461,256,205
Lee,GBDNPR,County Agricultural Extension Council Member,,Laura Brinck,,539,304,235
Lee,JF WMO,County Agricultural Extension Council Member,,Laura Brinck,,380,168,212
Lee,KE1,County Agricultural Extension Council Member,,Laura Brinck,,249,122,127
Lee,KE2A,County Agricultural Extension Council Member,,Laura Brinck,,129,59,70
Lee,KE2B,County Agricultural Extension Council Member,,Laura Brinck,,37,10,27
Lee,KE3,County Agricultural Extension Council Member,,Laura Brinck,,245,96,149
Lee,KE4,County Agricultural Extension Council Member,,Laura Brinck,,196,63,133
Lee,KE5,County Agricultural Extension Council Member,,Laura Brinck,,380,172,208
Lee,KE6,County Agricultural Extension Council Member,,Laura Brinck,,218,94,124
Lee,KE7,County Agricultural Extension Council Member,,Laura Brinck,,369,171,198
Lee,MR FR,County Agricultural Extension Council Member,,Laura Brinck,,586,239,347
Lee,WP,County Agricultural Extension Council Member,,Laura Brinck,,625,279,346
