county,precinct,office,district,candidate,party,votes,absentee,election_day
Lyon,Doon City Hall - P5,Constitutional Amendment 1,,No,,82,0,82
Lyon,Forster Community Building N - P3,Constitutional Amendment 1,,No,,214,0,214
Lyon,Forster Community Building S - P4,Constitutional Amendment 1,,No,,107,0,107
Lyon,George Community Center - P1,Constitutional Amendment 1,,No,,129,0,129
Lyon,Inwood Community Center - P6,Constitutional Amendment 1,,No,,147,0,147
Lyon,Larchwood City Hall - P10,Constitutional Amendment 1,,No,,142,0,142
Lyon,Lester Community Center - P9,Constitutional Amendment 1,,No,,50,0,50
Lyon,Little Rock Town and Country - P2,Constitutional Amendment 1,,No,,75,0,75
Lyon,Logan N - Lester Community Center - P8,Constitutional Amendment 1,,No,,5,0,5
Lyon,Logan S - Inwood Community Center - P7,Constitutional Amendment 1,,No,,49,0,49
Lyon,Doon City Hall - P5,Constitutional Amendment 1,,Yes,,590,0,590
Lyon,Forster Community Building N - P3,Constitutional Amendment 1,,Yes,,1044,0,1044
Lyon,Forster Community Building S - P4,Constitutional Amendment 1,,Yes,,495,0,495
Lyon,George Community Center - P1,Constitutional Amendment 1,,Yes,,718,0,718
Lyon,Inwood Community Center - P6,Constitutional Amendment 1,,Yes,,836,0,836
Lyon,Larchwood City Hall - P10,Constitutional Amendment 1,,Yes,,865,0,865
Lyon,Lester Community Center - P9,Constitutional Amendment 1,,Yes,,249,0,249
Lyon,Little Rock Town and Country - P2,Constitutional Amendment 1,,Yes,,372,0,372
Lyon,Logan N - Lester Community Center - P8,Constitutional Amendment 1,,Yes,,47,0,47
Lyon,Logan S - Inwood Community Center - P7,Constitutional Amendment 1,,Yes,,180,0,180
Lyon,Doon City Hall - P5,Constitutional Amendment 2,,No,,29,0,29
Lyon,Forster Community Building N - P3,Constitutional Amendment 2,,No,,104,0,104
Lyon,Forster Community Building S - P4,Constitutional Amendment 2,,No,,44,0,44
Lyon,George Community Center - P1,Constitutional Amendment 2,,No,,71,0,71
Lyon,Inwood Community Center - P6,Constitutional Amendment 2,,No,,56,0,56
Lyon,Larchwood City Hall - P10,Constitutional Amendment 2,,No,,70,0,70
Lyon,Lester Community Center - P9,Constitutional Amendment 2,,No,,18,0,18
Lyon,Little Rock Town and Country - P2,Constitutional Amendment 2,,No,,22,0,22
Lyon,Logan N - Lester Community Center - P8,Constitutional Amendment 2,,No,,2,0,2
Lyon,Logan S - Inwood Community Center - P7,Constitutional Amendment 2,,No,,13,0,13
Lyon,Doon City Hall - P5,Constitutional Amendment 2,,Yes,,635,0,635
Lyon,Forster Community Building N - P3,Constitutional Amendment 2,,Yes,,1128,0,1128
Lyon,Forster Community Building S - P4,Constitutional Amendment 2,,Yes,,548,0,548
Lyon,George Community Center - P1,Constitutional Amendment 2,,Yes,,768,0,768
Lyon,Inwood Community Center - P6,Constitutional Amendment 2,,Yes,,911,0,911
Lyon,Larchwood City Hall - P10,Constitutional Amendment 2,,Yes,,916,0,916
Lyon,Lester Community Center - P9,Constitutional Amendment 2,,Yes,,280,0,280
Lyon,Little Rock Town and Country - P2,Constitutional Amendment 2,,Yes,,408,0,408
Lyon,Logan N - Lester Community Center - P8,Constitutional Amendment 2,,Yes,,48,0,48
Lyon,Logan S - Inwood Community Center - P7,Constitutional Amendment 2,,Yes,,215,0,215
Lyon,Doon City Hall - P5,County Agricultural Extension Council Member,,DeAnn Krull,,434,0,434
Lyon,Forster Community Building N - P3,County Agricultural Extension Council Member,,DeAnn Krull,,840,0,840
Lyon,Forster Community Building S - P4,County Agricultural Extension Council Member,,DeAnn Krull,,421,0,421
Lyon,George Community Center - P1,County Agricultural Extension Council Member,,DeAnn Krull,,646,0,646
Lyon,Inwood Community Center - P6,County Agricultural Extension Council Member,,DeAnn Krull,,546,0,546
Lyon,Larchwood City Hall - P10,County Agricultural Extension Council Member,,DeAnn Krull,,487,0,487
Lyon,Lester Community Center - P9,County Agricultural Extension Council Member,,DeAnn Krull,,207,0,207
Lyon,Little Rock Town and Country - P2,County Agricultural Extension Council Member,,DeAnn Krull,,333,0,333
Lyon,Logan N - Lester Community Center - P8,County Agricultural Extension Council Member,,DeAnn Krull,,31,0,31
Lyon,Logan S - Inwood Community Center - P7,County Agricultural Extension Council Member,,DeAnn Krull,,137,0,137
Lyon,Doon City Hall - P5,County Agricultural Extension Council Member,,Ethan Blauwet,,412,0,412
Lyon,Forster Community Building N - P3,County Agricultural Extension Council Member,,Ethan Blauwet,,848,0,848
Lyon,Forster Community Building S - P4,County Agricultural Extension Council Member,,Ethan Blauwet,,417,0,417
Lyon,George Community Center - P1,County Agricultural Extension Council Member,,Ethan Blauwet,,466,0,466
Lyon,Inwood Community Center - P6,County Agricultural Extension Council Member,,Ethan Blauwet,,716,0,716
Lyon,Larchwood City Hall - P10,County Agricultural Extension Council Member,,Ethan Blauwet,,779,0,779
Lyon,Lester Community Center - P9,County Agricultural Extension Council Member,,Ethan Blauwet,,246,0,246
Lyon,Little Rock Town and Country - P2,County Agricultural Extension Council Member,,Ethan Blauwet,,265,0,265
Lyon,Logan N - Lester Community Center - P8,County Agricultural Extension Council Member,,Ethan Blauwet,,49,0,49
Lyon,Logan S - Inwood Community Center - P7,County Agricultural Extension Council Member,,Ethan Blauwet,,185,0,185
Lyon,Doon City Hall - P5,County Agricultural Extension Council Member,,Laura Nachtigal,,366,0,366
Lyon,Forster Community Building N - P3,County Agricultural Extension Council Member,,Laura Nachtigal,,744,0,744
Lyon,Forster Community Building S - P4,County Agricultural Extension Council Member,,Laura Nachtigal,,367,0,367
Lyon,George Community Center - P1,County Agricultural Extension Council Member,,Laura Nachtigal,,491,0,491
Lyon,Inwood Community Center - P6,County Agricultural Extension Council Member,,Laura Nachtigal,,490,0,490
Lyon,Larchwood City Hall - P10,County Agricultural Extension Council Member,,Laura Nachtigal,,464,0,464
Lyon,Lester Community Center - P9,County Agricultural Extension Council Member,,Laura Nachtigal,,202,0,202
Lyon,Little Rock Town and Country - P2,County Agricultural Extension Council Member,,Laura Nachtigal,,329,0,329
Lyon,Logan N - Lester Community Center - P8,County Agricultural Extension Council Member,,Laura Nachtigal,,33,0,33
Lyon,Logan S - Inwood Community Center - P7,County Agricultural Extension Council Member,,Laura Nachtigal,,130,0,130
Lyon,Doon City Hall - P5,County Agricultural Extension Council Member,,Melissa Harberts,,431,0,431
Lyon,Forster Community Building N - P3,County Agricultural Extension Council Member,,Melissa Harberts,,891,0,891
Lyon,Forster Community Building S - P4,County Agricultural Extension Council Member,,Melissa Harberts,,423,0,423
Lyon,George Community Center - P1,County Agricultural Extension Council Member,,Melissa Harberts,,528,0,528
Lyon,Inwood Community Center - P6,County Agricultural Extension Council Member,,Melissa Harberts,,553,0,553
Lyon,Larchwood City Hall - P10,County Agricultural Extension Council Member,,Melissa Harberts,,514,0,514
