county,precinct,office,district,candidate,party,votes,absentee,election_day
Poweshiek,BMWJ,Bear Creek Township Trustee,,Calvin R. Roudabush,,123,29,94
Poweshiek,BMWJ,Bear Creek Township Trustee,,Daryl Brau,,133,31,102
Poweshiek,BMWJ,Bear Creek Township Trustee,,Write-In,,0,0,0
Poweshiek,CGWS,Chester Township Trustee,,David Harris,,126,47,79
Poweshiek,CGWS,Chester Township Trustee,,Mark E. Hendrickson,,105,43,62
Poweshiek,CGWS,Chester Township Trustee,,Write-In,,1,1,0
Poweshiek,1st Ward - GR,Constitutional Amendment 1,,No,,384,214,170
Poweshiek,2nd Ward - GR,Constitutional Amendment 1,,No,,408,199,209
Poweshiek,3rd Ward - GR,Constitutional Amendment 1,,No,,274,103,171
Poweshiek,4th Ward - GR,Constitutional Amendment 1,,No,,353,192,161
Poweshiek,BMWJ,Constitutional Amendment 1,,No,,290,115,175
Poweshiek,CGWS,Constitutional Amendment 1,,No,,181,72,109
Poweshiek,DRL,Constitutional Amendment 1,,No,,85,24,61
Poweshiek,JUPS,Constitutional Amendment 1,,No,,186,98,88
Poweshiek,MS,Constitutional Amendment 1,,No,,92,30,62
Poweshiek,Montezuma,Constitutional Amendment 1,,No,,108,35,73
Poweshiek,1st Ward - GR,Constitutional Amendment 1,,Yes,,575,264,311
Poweshiek,2nd Ward - GR,Constitutional Amendment 1,,Yes,,871,359,512
Poweshiek,3rd Ward - GR,Constitutional Amendment 1,,Yes,,616,188,428
Poweshiek,4th Ward - GR,Constitutional Amendment 1,,Yes,,719,348,371
Poweshiek,BMWJ,Constitutional Amendment 1,,Yes,,1223,374,849
Poweshiek,CGWS,Constitutional Amendment 1,,Yes,,714,307,407
Poweshiek,DRL,Constitutional Amendment 1,,Yes,,300,63,237
Poweshiek,JUPS,Constitutional Amendment 1,,Yes,,740,394,346
Poweshiek,MS,Constitutional Amendment 1,,Yes,,298,99,199
Poweshiek,Montezuma,Constitutional Amendment 1,,Yes,,524,196,328
Poweshiek,1st Ward - GR,Constitutional Amendment 2,,No,,309,170,139
Poweshiek,2nd Ward - GR,Constitutional Amendment 2,,No,,327,169,158
Poweshiek,3rd Ward - GR,Constitutional Amendment 2,,No,,213,78,135
Poweshiek,4th Ward - GR,Constitutional Amendment 2,,No,,264,143,121
Poweshiek,BMWJ,Constitutional Amendment 2,,No,,220,89,131
Poweshiek,CGWS,Constitutional Amendment 2,,No,,127,50,77
Poweshiek,DRL,Constitutional Amendment 2,,No,,49,18,31
Poweshiek,JUPS,Constitutional Amendment 2,,No,,137,80,57
Poweshiek,MS,Constitutional Amendment 2,,No,,68,28,40
Poweshiek,Montezuma,Constitutional Amendment 2,,No,,67,24,43
Poweshiek,1st Ward - GR,Constitutional Amendment 2,,Yes,,619,295,324
Poweshiek,2nd Ward - GR,Constitutional Amendment 2,,Yes,,943,384,559
Poweshiek,3rd Ward - GR,Constitutional Amendment 2,,Yes,,668,211,457
Poweshiek,4th Ward - GR,Constitutional Amendment 2,,Yes,,776,384,392
Poweshiek,BMWJ,Constitutional Amendment 2,,Yes,,1281,393,888
Poweshiek,CGWS,Constitutional Amendment 2,,Yes,,760,321,439
Poweshiek,DRL,Constitutional Amendment 2,,Yes,,329,68,261
Poweshiek,JUPS,Constitutional Amendment 2,,Yes,,774,400,374
