county,precinct,office,district,candidate,party,votes,absentee,election_day
Union,AF - Afton United Methodist Church,Constitutional Amendment 1,,No,,104,0,104
Union,AR - Arispe United Methodist Church,Constitutional Amendment 1,,No,,48,0,48
Union,CS1 - Salem Lutheran Church,Constitutional Amendment 1,,No,,90,0,90
Union,CS2 - SWCC,Constitutional Amendment 1,,No,,258,0,258
Union,CS3 - Trinity Lutheran Church,Constitutional Amendment 1,,No,,142,0,142
Union,CS4 - Supertel,Constitutional Amendment 1,,No,,146,0,146
Union,CS5 - Crest Baptist Church,Constitutional Amendment 1,,No,,151,0,151
Union,LNT - Lincoln Township,Constitutional Amendment 1,,No,,30,0,30
Union,LR - Lorimor,Constitutional Amendment 1,,No,,117,0,117
Union,AF - Afton United Methodist Church,Constitutional Amendment 1,,Yes,,477,0,477
Union,AR - Arispe United Methodist Church,Constitutional Amendment 1,,Yes,,203,0,203
Union,CS1 - Salem Lutheran Church,Constitutional Amendment 1,,Yes,,416,0,416
Union,CS2 - SWCC,Constitutional Amendment 1,,Yes,,1088,0,1088
Union,CS3 - Trinity Lutheran Church,Constitutional Amendment 1,,Yes,,556,0,556
Union,CS4 - Supertel,Constitutional Amendment 1,,Yes,,530,0,530
Union,CS5 - Crest Baptist Church,Constitutional Amendment 1,,Yes,,593,0,593
Union,LNT - Lincoln Township,Constitutional Amendment 1,,Yes,,144,0,144
Union,LR - Lorimor,Constitutional Amendment 1,,Yes,,439,0,439
Union,AF - Afton United Methodist Church,Constitutional Amendment 2,,No,,73,0,73
Union,AR - Arispe United Methodist Church,Constitutional Amendment 2,,No,,35,0,35
Union,CS1 - Salem Lutheran Church,Constitutional Amendment 2,,No,,91,0,91
Union,CS2 - SWCC,Constitutional Amendment 2,,No,,184,0,184
Union,CS3 - Trinity Lutheran Church,Constitutional Amendment 2,,No,,132,0,132
Union,CS4 - Supertel,Constitutional Amendment 2,,No,,104,0,104
Union,CS5 - Crest Baptist Church,Constitutional Amendment 2,,No,,123,0,123
Union,LNT - Lincoln Township,Constitutional Amendment 2,,No,,10,0,10
Union,LR - Lorimor,Constitutional Amendment 2,,No,,98,0,98
Union,AF - Afton United Methodist Church,Constitutional Amendment 2,,Yes,,497,0,497
Union,AR - Arispe United Methodist Church,Constitutional Amendment 2,,Yes,,216,0,216
Union,CS1 - Salem Lutheran Church,Constitutional Amendment 2,,Yes,,403,0,403
Union,CS2 - SWCC,Constitutional Amendment 2,,Yes,,1148,0,1148
Union,CS3 - Trinity Lutheran Church,Constitutional Amendment 2,,Yes,,556,0,556
Union,CS4 - Supertel,Constitutional Amendment 2,,Yes,,556,0,556
Union,CS5 - Crest Baptist Church,Constitutional Amendment 2,,Yes,,613,0,613
Union,LNT - Lincoln Township,Constitutional Amendment 2,,Yes,,165,0,165
Union,LR - Lorimor,Constitutional Amendment 2,,Yes,,450,0,450
Union,AF - Afton United Methodist Church,County Agricultural Extension Council Member,,April Evans,,321,0,321
Union,AR - Arispe United Methodist Church,County Agricultural Extension Council Member,,April Evans,,149,0,149
Union,CS1 - Salem Lutheran Church,County Agricultural Extension Council Member,,April Evans,,267,0,267
Union,CS2 - SWCC,County Agricultural Extension Council Member,,April Evans,,844,0,844
Union,CS3 - Trinity Lutheran Church,County Agricultural Extension Council Member,,April Evans,,387,0,387
Union,CS4 - Supertel,County Agricultural Extension Council Member,,April Evans,,371,0,371
Union,CS5 - Crest Baptist Church,County Agricultural Extension Council Member,,April Evans,,434,0,434
Union,LNT - Lincoln Township,County Agricultural Extension Council Member,,April Evans,,125,0,125
Union,LR - Lorimor,County Agricultural Extension Council Member,,April Evans,,302,0,302
Union,AF - Afton United Methodist Church,County Agricultural Extension Council Member,,Callie Anderson,,307,0,307
Union,AR - Arispe United Methodist Church,County Agricultural Extension Council Member,,Callie Anderson,,137,0,137
Union,CS1 - Salem Lutheran Church,County Agricultural Extension Council Member,,Callie Anderson,,279,0,279
Union,CS2 - SWCC,County Agricultural Extension Council Member,,Callie Anderson,,842,0,842
Union,CS3 - Trinity Lutheran Church,County Agricultural Extension Council Member,,Callie Anderson,,411,0,411
Union,CS4 - Supertel,County Agricultural Extension Council Member,,Callie Anderson,,370,0,370
Union,CS5 - Crest Baptist Church,County Agricultural Extension Council Member,,Callie Anderson,,454,0,454
Union,LNT - Lincoln Township,County Agricultural Extension Council Member,,Callie Anderson,,109,0,109
Union,LR - Lorimor,County Agricultural Extension Council Member,,Callie Anderson,,255,0,255
Union,AF - Afton United Methodist Church,County Agricultural Extension Council Member,,Chad Ide,,386,0,386
Union,AR - Arispe United Methodist Church,County Agricultural Extension Council Member,,Chad Ide,,209,0,209
Union,CS1 - Salem Lutheran Church,County Agricultural Extension Council Member,,Chad Ide,,283,0,283
Union,CS2 - SWCC,County Agricultural Extension Council Member,,Chad Ide,,966,0,966
Union,CS3 - Trinity Lutheran Church,County Agricultural Extension Council Member,,Chad Ide,,434,0,434
Union,CS4 - Supertel,County Agricultural Extension Council Member,,Chad Ide,,426,0,426
Union,CS5 - Crest Baptist Church,County Agricultural Extension Council Member,,Chad Ide,,474,0,474
Union,LNT - Lincoln Township,County Agricultural Extension Council Member,,Chad Ide,,138,0,138
Union,LR - Lorimor,County Agricultural Extension Council Member,,Chad Ide,,341,0,341
Union,AF - Afton United Methodist Church,County Agricultural Extension Council Member,,Nicole Shawley,,329,0,329
Union,AR - Arispe United Methodist Church,County Agricultural Extension Council Member,,Nicole Shawley,,137,0,137
Union,CS1 - Salem Lutheran Church,County Agricultural Extension Council Member,,Nicole Shawley,,221,0,221
Union,CS2 - SWCC,County Agricultural Extension Council Member,,Nicole Shawley,,750,0,750
Union,CS3 - Trinity Lutheran Church,County Agricultural Extension Council Member,,Nicole Shawley,,344,0,344
Union,CS4 - Supertel,County Agricultural Extension Council Member,,Nicole Shawley,,314,0,314
Union,CS5 - Crest Baptist Church,County Agricultural Extension Council Member,,Nicole Shawley,,386,0,386
Union,LNT - Lincoln Township,County Agricultural Extension Council Member,,Nicole Shawley,,114,0,114
Union,LR - Lorimor,County Agricultural Extension Council Member,,Nicole Shawley,,285,0,285
Union,AF - Afton United Methodist Church,County Agricultural Extension Council Member,,Randy Wuebker,,396,0,396
Union,AR - Arispe United Methodist Church,County Agricultural Extension Council Member,,Randy Wuebker,,166,0,166
Union,CS1 - Salem Lutheran Church,County Agricultural Extension Council Member,,Randy Wuebker,,230,0,230
Union,CS2 - SWCC,County Agricultural Extension Council Member,,Randy Wuebker,,765,0,765
Union,CS3 - Trinity Lutheran Church,County Agricultural Extension Council Member,,Randy Wuebker,,349,0,349
Union,CS4 - Supertel,County Agricultural Extension Council Member,,Randy Wuebker,,335,0,335
Union,CS5 - Crest Baptist Church,County Agricultural Extension Council Member,,Randy Wuebker,,407,0,407
Union,LNT - Lincoln Township,County Agricultural Extension Council Member,,Randy Wuebker,,118,0,118
Union,LR - Lorimor,County Agricultural Extension Council Member,,Randy Wuebker,,364,0,364
Union,AF - Afton United Methodist Church,County Agricultural Extension Council Member,,Write-In,,1,0,1
Union,AR - Arispe United Methodist Church,County Agricultural Extension Council Member,,Write-In,,2,0,2
Union,CS1 - Salem Lutheran Church,County Agricultural Extension Council Member,,Write-In,,6,0,6
Union,CS2 - SWCC,County Agricultural Extension Council Member,,Write-In,,7,0,7
Union,CS3 - Trinity Lutheran Church,County Agricultural Extension Council Member,,Write-In,,6,0,6
Union,CS4 - Supertel,County Agricultural Extension Council Member,,Write-In,,4,0,4
Union,CS5 - Crest Baptist Church,County Agricultural Extension Council Member,,Write-In,,12,0,12
Union,LNT - Lincoln Township,County Agricultural Extension Council Member,,Write-In,,5,0,5
Union,LR - Lorimor,County Agricultural Extension Council Member,,Write-In,,9,0,9
Union,AF - Afton United Methodist Church,County Agricultural Extension Council To Fill a Vacancy,,Allyson Lacina,,482,0,482
Union,AR - Arispe United Methodist Church,County Agricultural Extension Council To Fill a Vacancy,,Allyson Lacina,,208,0,208
Union,CS1 - Salem Lutheran Church,County Agricultural Extension Council To Fill a Vacancy,,Allyson Lacina,,364,0,364
Union,CS2 - SWCC,County Agricultural Extension Council To Fill a Vacancy,,Allyson Lacina,,1029,0,1029
Union,CS3 - Trinity Lutheran Church,County Agricultural Extension Council To Fill a Vacancy,,Allyson Lacina,,512,0,512
Union,CS4 - Supertel,County Agricultural Extension Council To Fill a Vacancy,,Allyson Lacina,,490,0,490
