county,precinct,office,district,candidate,party,votes,absentee,election_day
Van Buren,East,Bonaparte Township Trustee,,Jim Jury,,63,23,40
Van Buren,East,Bonaparte Township Trustee,,William L. Rice,,41,19,22
Van Buren,East,Bonaparte Township Trustee,,Write-In,,10,2,8
Van Buren,North,Cedar Township Trustee,,Cordell Filson,,66,21,45
Van Buren,North,Cedar Township Trustee,,Roger Deao,,70,23,47
Van Buren,North,Cedar Township Trustee,,Write-In,,3,0,3
Van Buren,Southwest,Chequest Township Trustee,,Douglas Turner,,94,30,64
Van Buren,Southwest,Chequest Township Trustee,,Write-In,,1,1,0
Van Buren,Central,Constitutional Amendment 1,,No,,192,76,116
Van Buren,East,Constitutional Amendment 1,,No,,211,55,156
Van Buren,North,Constitutional Amendment 1,,No,,225,56,169
Van Buren,Southwest,Constitutional Amendment 1,,No,,110,32,78
Van Buren,Central,Constitutional Amendment 1,,Yes,,696,287,409
Van Buren,East,Constitutional Amendment 1,,Yes,,663,189,474
Van Buren,North,Constitutional Amendment 1,,Yes,,787,210,577
Van Buren,Southwest,Constitutional Amendment 1,,Yes,,431,143,288
Van Buren,Central,Constitutional Amendment 2,,No,,151,57,94
Van Buren,East,Constitutional Amendment 2,,No,,185,47,138
Van Buren,North,Constitutional Amendment 2,,No,,170,42,128
Van Buren,Southwest,Constitutional Amendment 2,,No,,77,28,49
Van Buren,Central,Constitutional Amendment 2,,Yes,,718,293,425
Van Buren,East,Constitutional Amendment 2,,Yes,,651,186,465
Van Buren,North,Constitutional Amendment 2,,Yes,,816,215,601
Van Buren,Southwest,Constitutional Amendment 2,,Yes,,451,144,307
Van Buren,Central,County Agricultural Extension Council Member,,Brandon Moyer,,349,145,204
Van Buren,East,County Agricultural Extension Council Member,,Brandon Moyer,,305,77,228
Van Buren,North,County Agricultural Extension Council Member,,Brandon Moyer,,435,115,320
Van Buren,Southwest,County Agricultural Extension Council Member,,Brandon Moyer,,204,64,140
Van Buren,Central,County Agricultural Extension Council Member,,Chad Grimm,,432,162,270
Van Buren,East,County Agricultural Extension Council Member,,Chad Grimm,,377,99,278
Van Buren,North,County Agricultural Extension Council Member,,Chad Grimm,,431,117,314
Van Buren,Southwest,County Agricultural Extension Council Member,,Chad Grimm,,288,78,210
Van Buren,Central,County Agricultural Extension Council Member,,Christine Westercamp,,520,215,305
Van Buren,East,County Agricultural Extension Council Member,,Christine Westercamp,,641,171,470
Van Buren,North,County Agricultural Extension Council Member,,Christine Westercamp,,556,151,405
Van Buren,Southwest,County Agricultural Extension Council Member,,Christine Westercamp,,278,89,189
Van Buren,Central,County Agricultural Extension Council Member,,Matthew Mercer,,508,203,305
Van Buren,East,County Agricultural Extension Council Member,,Matthew Mercer,,470,120,350
Van Buren,North,County Agricultural Extension Council Member,,Matthew Mercer,,501,126,375
Van Buren,Southwest,County Agricultural Extension Council Member,,Matthew Mercer,,362,107,255
Van Buren,Central,County Agricultural Extension Council Member,,Mike Thomas,,584,230,354
Van Buren,East,County Agricultural Extension Council Member,,Mike Thomas,,536,140,396
Van Buren,North,County Agricultural Extension Council Member,,Mike Thomas,,583,156,427
Van Buren,Southwest,County Agricultural Extension Council Member,,Mike Thomas,,405,123,282
Van Buren,Central,County Agricultural Extension Council Member,,Write-In,,10,4,6
Van Buren,East,County Agricultural Extension Council Member,,Write-In,,8,1,7
Van Buren,North,County Agricultural Extension Council Member,,Write-In,,5,1,4
Van Buren,Southwest,County Agricultural Extension Council Member,,Write-In,,2,1,1
Van Buren,Central,County Auditor,,Lisa Plecker,REP,890,365,525
Van Buren,East,County Auditor,,Lisa Plecker,REP,836,220,616
Van Buren,North,County Auditor,,Lisa Plecker,REP,1016,270,746
Van Buren,Southwest,County Auditor,,Lisa Plecker,REP,542,175,367
Van Buren,Central,County Auditor,,Write-In,,1,0,1
Van Buren,East,County Auditor,,Write-In,,10,1,9
Van Buren,North,County Auditor,,Write-In,,11,3,8
Van Buren,Southwest,County Auditor,,Write-In,,4,2,2
Van Buren,Central,County Board of Supervisors,,Robert Waugh,REP,828,333,495
Van Buren,East,County Board of Supervisors,,Robert Waugh,REP,803,198,605
Van Buren,North,County Board of Supervisors,,Robert Waugh,REP,1020,255,765
Van Buren,Southwest,County Board of Supervisors,,Robert Waugh,REP,498,148,350
Van Buren,Central,County Board of Supervisors,,Write-In,,29,10,19
Van Buren,East,County Board of Supervisors,,Write-In,,28,11,17
Van Buren,North,County Board of Supervisors,,Write-In,,22,10,12
Van Buren,Southwest,County Board of Supervisors,,Write-In,,21,12,9
Van Buren,Central,County Hospital Trustee,,Benjamin Sherod,,667,271,396
Van Buren,East,County Hospital Trustee,,Benjamin Sherod,,597,158,439
Van Buren,North,County Hospital Trustee,,Benjamin Sherod,,778,200,578
Van Buren,Southwest,County Hospital Trustee,,Benjamin Sherod,,398,127,271
Van Buren,Central,County Hospital Trustee,,Pat Tucker,,606,250,356
