county,precinct,office,district,candidate,party,votes,absentee,election_day
Wayne,C02 Corydon,Benton Township Trustee,,Joel Petty,,91,0,91
Wayne,C02 Corydon,Benton Township Trustee,,Write-In,,0,0,0
Wayne,H03 Humeston,Clay Township Trustee,,Daniel May,,82,0,82
Wayne,H03 Humeston,Clay Township Trustee,,Write-In,,3,0,3
Wayne,A01 Allerton,Clinton Township Trustee,,Burton A Prunty,,40,0,40
Wayne,A01 Allerton,Clinton Township Trustee,,Write-In,,1,0,1
Wayne,A01 Allerton,Constitutional Amendment 1,,No,,116,0,116
Wayne,C02 Corydon,Constitutional Amendment 1,,No,,162,0,162
Wayne,H03 Humeston,Constitutional Amendment 1,,No,,108,0,108
Wayne,S04 Seymour,Constitutional Amendment 1,,No,,121,0,121
Wayne,A01 Allerton,Constitutional Amendment 1,,Yes,,525,0,525
Wayne,C02 Corydon,Constitutional Amendment 1,,Yes,,751,0,751
Wayne,H03 Humeston,Constitutional Amendment 1,,Yes,,492,0,492
Wayne,S04 Seymour,Constitutional Amendment 1,,Yes,,512,0,512
Wayne,A01 Allerton,Constitutional Amendment 2,,No,,73,0,73
Wayne,C02 Corydon,Constitutional Amendment 2,,No,,123,0,123
Wayne,H03 Humeston,Constitutional Amendment 2,,No,,73,0,73
Wayne,S04 Seymour,Constitutional Amendment 2,,No,,86,0,86
Wayne,A01 Allerton,Constitutional Amendment 2,,Yes,,556,0,556
Wayne,C02 Corydon,Constitutional Amendment 2,,Yes,,783,0,783
Wayne,H03 Humeston,Constitutional Amendment 2,,Yes,,516,0,516
Wayne,S04 Seymour,Constitutional Amendment 2,,Yes,,542,0,542
Wayne,C02 Corydon,Corydon Township Trustee,,Dillon Lain,,128,0,128
Wayne,C02 Corydon,Corydon Township Trustee,,Write-In,,0,0,0
Wayne,A01 Allerton,County Agricultural Extension Council Member,,Courtney Power,,402,0,402
Wayne,C02 Corydon,County Agricultural Extension Council Member,,Courtney Power,,573,0,573
Wayne,H03 Humeston,County Agricultural Extension Council Member,,Courtney Power,,361,0,361
Wayne,S04 Seymour,County Agricultural Extension Council Member,,Courtney Power,,446,0,446
Wayne,A01 Allerton,County Agricultural Extension Council Member,,Jay Bellon,,485,0,485
Wayne,C02 Corydon,County Agricultural Extension Council Member,,Jay Bellon,,697,0,697
Wayne,H03 Humeston,County Agricultural Extension Council Member,,Jay Bellon,,421,0,421
Wayne,S04 Seymour,County Agricultural Extension Council Member,,Jay Bellon,,375,0,375
Wayne,A01 Allerton,County Agricultural Extension Council Member,,Josh Hysell,,511,0,511
Wayne,C02 Corydon,County Agricultural Extension Council Member,,Josh Hysell,,723,0,723
Wayne,H03 Humeston,County Agricultural Extension Council Member,,Josh Hysell,,467,0,467
Wayne,S04 Seymour,County Agricultural Extension Council Member,,Josh Hysell,,413,0,413
Wayne,A01 Allerton,County Agricultural Extension Council Member,,Sarah Peck,,494,0,494
Wayne,C02 Corydon,County Agricultural Extension Council Member,,Sarah Peck,,703,0,703
Wayne,H03 Humeston,County Agricultural Extension Council Member,,Sarah Peck,,420,0,420
Wayne,S04 Seymour,County Agricultural Extension Council Member,,Sarah Peck,,428,0,428
Wayne,A01 Allerton,County Agricultural Extension Council Member,,Write-In,,2,0,2
Wayne,C02 Corydon,County Agricultural Extension Council Member,,Write-In,,0,0,0
Wayne,H03 Humeston,County Agricultural Extension Council Member,,Write-In,,10,0,10
Wayne,S04 Seymour,County Agricultural Extension Council Member,,Write-In,,4,0,4
Wayne,A01 Allerton,County Auditor,,Michelle Dooley,REP,639,0,639
Wayne,C02 Corydon,County Auditor,,Michelle Dooley,REP,898,0,898
Wayne,H03 Humeston,County Auditor,,Michelle Dooley,REP,562,0,562
Wayne,S04 Seymour,County Auditor,,Michelle Dooley,REP,591,0,591
Wayne,A01 Allerton,County Auditor,,Write-In,,3,0,3
Wayne,C02 Corydon,County Auditor,,Write-In,,8,0,8
Wayne,H03 Humeston,County Auditor,,Write-In,,12,0,12
Wayne,S04 Seymour,County Auditor,,Write-In,,8,0,8
Wayne,A01 Allerton,County Board of Supervisors,,Todd Wilson,REP,652,0,652
Wayne,C02 Corydon,County Board of Supervisors,,Todd Wilson,REP,896,0,896
Wayne,H03 Humeston,County Board of Supervisors,,Todd Wilson,REP,576,0,576
Wayne,S04 Seymour,County Board of Supervisors,,Todd Wilson,REP,578,0,578
Wayne,A01 Allerton,County Board of Supervisors,,Write-In,,9,0,9
Wayne,C02 Corydon,County Board of Supervisors,,Write-In,,7,0,7
Wayne,H03 Humeston,County Board of Supervisors,,Write-In,,8,0,8
Wayne,S04 Seymour,County Board of Supervisors,,Write-In,,8,0,8
Wayne,A01 Allerton,County Sheriff,,Keith Davis,REP,629,0,629
Wayne,C02 Corydon,County Sheriff,,Keith Davis,REP,884,0,884
Wayne,H03 Humeston,County Sheriff,,Keith Davis,REP,579,0,579
Wayne,S04 Seymour,County Sheriff,,Keith Davis,REP,585,0,585
Wayne,A01 Allerton,County Sheriff,,Write-In,,28,0,28
Wayne,C02 Corydon,County Sheriff,,Write-In,,36,0,36
Wayne,H03 Humeston,County Sheriff,,Write-In,,26,0,26
Wayne,S04 Seymour,County Sheriff,,Write-In,,12,0,12
Wayne,A01 Allerton,Court of Appeals Judge - Mary Elizabeth Chicchelly,,No,,155,0,155
Wayne,C02 Corydon,Court of Appeals Judge - Mary Elizabeth Chicchelly,,No,,173,0,173
Wayne,H03 Humeston,Court of Appeals Judge - Mary Elizabeth Chicchelly,,No,,132,0,132
Wayne,S04 Seymour,Court of Appeals Judge - Mary Elizabeth Chicchelly,,No,,164,0,164
Wayne,A01 Allerton,Court of Appeals Judge - Mary Elizabeth Chicchelly,,Yes,,357,0,357
Wayne,C02 Corydon,Court of Appeals Judge - Mary Elizabeth Chicchelly,,Yes,,555,0,555
Wayne,H03 Humeston,Court of Appeals Judge - Mary Elizabeth Chicchelly,,Yes,,339,0,339
Wayne,S04 Seymour,Court of Appeals Judge - Mary Elizabeth Chicchelly,,Yes,,306,0,306
Wayne,A01 Allerton,Court of Appeals Judge - Mary Ellen Tabor,,No,,152,0,152
Wayne,C02 Corydon,Court of Appeals Judge - Mary Ellen Tabor,,No,,210,0,210
Wayne,H03 Humeston,Court of Appeals Judge - Mary Ellen Tabor,,No,,152,0,152
Wayne,S04 Seymour,Court of Appeals Judge - Mary Ellen Tabor,,No,,162,0,162
Wayne,A01 Allerton,Court of Appeals Judge - Mary Ellen Tabor,,Yes,,364,0,364
Wayne,C02 Corydon,Court of Appeals Judge - Mary Ellen Tabor,,Yes,,518,0,518
Wayne,H03 Humeston,Court of Appeals Judge - Mary Ellen Tabor,,Yes,,320,0,320
Wayne,S04 Seymour,Court of Appeals Judge - Mary Ellen Tabor,,Yes,,312,0,312
Wayne,A01 Allerton,Court of Appeals Judge - Samuel Langholz,,No,,154,0,154
Wayne,C02 Corydon,Court of Appeals Judge - Samuel Langholz,,No,,174,0,174
Wayne,H03 Humeston,Court of Appeals Judge - Samuel Langholz,,No,,124,0,124
Wayne,S04 Seymour,Court of Appeals Judge - Samuel Langholz,,No,,170,0,170
Wayne,A01 Allerton,Court of Appeals Judge - Samuel Langholz,,Yes,,359,0,359
Wayne,C02 Corydon,Court of Appeals Judge - Samuel Langholz,,Yes,,554,0,554
Wayne,H03 Humeston,Court of Appeals Judge - Samuel Langholz,,Yes,,347,0,347
Wayne,S04 Seymour,Court of Appeals Judge - Samuel Langholz,,Yes,,302,0,302
Wayne,A01 Allerton,Court of Appeals Judge - Tyler J. Buller,,No,,145,0,145
Wayne,C02 Corydon,Court of Appeals Judge - Tyler J. Buller,,No,,180,0,180
Wayne,H03 Humeston,Court of Appeals Judge - Tyler J. Buller,,No,,134,0,134
Wayne,S04 Seymour,Court of Appeals Judge - Tyler J. Buller,,No,,154,0,154
Wayne,A01 Allerton,Court of Appeals Judge - Tyler J. Buller,,Yes,,383,0,383
Wayne,C02 Corydon,Court of Appeals Judge - Tyler J. Buller,,Yes,,559,0,559
Wayne,H03 Humeston,Court of Appeals Judge - Tyler J. Buller,,Yes,,341,0,341
Wayne,S04 Seymour,Court of Appeals Judge - Tyler J. Buller,,Yes,,332,0,332
Wayne,A01 Allerton,District 5B Judge - Patrick W. Greenwood,,No,,132,0,132
Wayne,C02 Corydon,District 5B Judge - Patrick W. Greenwood,,No,,150,0,150
Wayne,H03 Humeston,District 5B Judge - Patrick W. Greenwood,,No,,108,0,108
Wayne,S04 Seymour,District 5B Judge - Patrick W. Greenwood,,No,,147,0,147
Wayne,A01 Allerton,District 5B Judge - Patrick W. Greenwood,,Yes,,408,0,408
Wayne,C02 Corydon,District 5B Judge - Patrick W. Greenwood,,Yes,,594,0,594
Wayne,H03 Humeston,District 5B Judge - Patrick W. Greenwood,,Yes,,367,0,367
Wayne,S04 Seymour,District 5B Judge - Patrick W. Greenwood,,Yes,,339,0,339
Wayne,A01 Allerton,Grand River Township Trustee,,Becky Fetters (Write-In),,1,0,1
Wayne,A01 Allerton,Grand River Township Trustee,,Daren Steele (Write-In),,4,0,4
Wayne,A01 Allerton,Grand River Township Trustee,,Write-In,,0,0,0
Wayne,A01 Allerton,Howard Township Trustee,,Blank (Write-In),,1,0,1
Wayne,A01 Allerton,Howard Township Trustee,,Jace Allen (Write-In),,4,0,4
Wayne,A01 Allerton,Howard Township Trustee,,Jace Alley (Write-In),,1,0,1
Wayne,A01 Allerton,Howard Township Trustee,,Write-In,,0,0,0
Wayne,A01 Allerton,Jackson Township Trustee,,Tim Runyon,,65,0,65
Wayne,A01 Allerton,Jackson Township Trustee,,Write-In,,1,0,1
Wayne,A01 Allerton,Jefferson Township Trustee,,Chris Willey (Write-In),,4,0,4
Wayne,A01 Allerton,Jefferson Township Trustee,,Milo Bettis,,61,0,61
Wayne,A01 Allerton,Jefferson Township Trustee,,Write-In,,2,0,2
Wayne,S04 Seymour,Monroe Township Trustee,,David Westphal,,22,0,22
Wayne,S04 Seymour,Monroe Township Trustee,,Write-In,,0,0,0
Wayne,A01 Allerton,President,,Chase Oliver and Mike ter Maat,LIB,2,0,2
Wayne,C02 Corydon,President,,Chase Oliver and Mike ter Maat,LIB,2,0,2
Wayne,H03 Humeston,President,,Chase Oliver and Mike ter Maat,LIB,0,0,0
Wayne,S04 Seymour,President,,Chase Oliver and Mike ter Maat,LIB,8,0,8
Wayne,A01 Allerton,President,,Claudia De la Cruz and Karina Garcia,PSL,0,0,0
Wayne,C02 Corydon,President,,Claudia De la Cruz and Karina Garcia,PSL,0,0,0
Wayne,H03 Humeston,President,,Claudia De la Cruz and Karina Garcia,PSL,0,0,0
Wayne,S04 Seymour,President,,Claudia De la Cruz and Karina Garcia,PSL,0,0,0
Wayne,A01 Allerton,President,,Donald J. Trump and JD Vance,REP,602,0,602
Wayne,C02 Corydon,President,,Donald J. Trump and JD Vance,REP,777,0,777
Wayne,H03 Humeston,President,,Donald J. Trump and JD Vance,REP,516,0,516
Wayne,S04 Seymour,President,,Donald J. Trump and JD Vance,REP,531,0,531
Wayne,A01 Allerton,President,,Kamala D. Harris and Tim Walz,DEM,123,0,123
Wayne,C02 Corydon,President,,Kamala D. Harris and Tim Walz,DEM,223,0,223
Wayne,H03 Humeston,President,,Kamala D. Harris and Tim Walz,DEM,147,0,147
Wayne,S04 Seymour,President,,Kamala D. Harris and Tim Walz,DEM,150,0,150
Wayne,A01 Allerton,President,,Robert F. Kennedy Jr and Nicole Shanahan,WTP,6,0,6
Wayne,C02 Corydon,President,,Robert F. Kennedy Jr and Nicole Shanahan,WTP,15,0,15
Wayne,H03 Humeston,President,,Robert F. Kennedy Jr and Nicole Shanahan,WTP,6,0,6
Wayne,S04 Seymour,President,,Robert F. Kennedy Jr and Nicole Shanahan,WTP,9,0,9
Wayne,A01 Allerton,President,,Shiva Ayyadurai and Crystal Ellis,,0,0,0
Wayne,C02 Corydon,President,,Shiva Ayyadurai and Crystal Ellis,,2,0,2
Wayne,H03 Humeston,President,,Shiva Ayyadurai and Crystal Ellis,,0,0,0
Wayne,S04 Seymour,President,,Shiva Ayyadurai and Crystal Ellis,,0,0,0
Wayne,A01 Allerton,President,,William P. Stodden and Stephanie H. Cholensky,SOC,0,0,0
Wayne,C02 Corydon,President,,William P. Stodden and Stephanie H. Cholensky,SOC,0,0,0
Wayne,H03 Humeston,President,,William P. Stodden and Stephanie H. Cholensky,SOC,0,0,0
Wayne,S04 Seymour,President,,William P. Stodden and Stephanie H. Cholensky,SOC,0,0,0
Wayne,A01 Allerton,President,,Write-In,,0,0,0
Wayne,C02 Corydon,President,,Write-In,,3,0,3
Wayne,H03 Humeston,President,,Write-In,,1,0,1
Wayne,S04 Seymour,President,,Write-In,,1,0,1
Wayne,H03 Humeston,Richman Township Trustee,,Lavern Hostetler,,64,0,64
Wayne,H03 Humeston,Richman Township Trustee,,Write-In,,0,0,0
Wayne,A01 Allerton,Soil and Water Conservation District Commissioner,,Jason Gradeless,,455,0,455
Wayne,C02 Corydon,Soil and Water Conservation District Commissioner,,Jason Gradeless,,658,0,658
Wayne,H03 Humeston,Soil and Water Conservation District Commissioner,,Jason Gradeless,,399,0,399
Wayne,S04 Seymour,Soil and Water Conservation District Commissioner,,Jason Gradeless,,411,0,411
Wayne,A01 Allerton,Soil and Water Conservation District Commissioner,,John Sellers Jr,,491,0,491
Wayne,C02 Corydon,Soil and Water Conservation District Commissioner,,John Sellers Jr,,686,0,686
Wayne,H03 Humeston,Soil and Water Conservation District Commissioner,,John Sellers Jr,,416,0,416
Wayne,S04 Seymour,Soil and Water Conservation District Commissioner,,John Sellers Jr,,409,0,409
Wayne,A01 Allerton,Soil and Water Conservation District Commissioner,,Phillip West,,419,0,419
Wayne,C02 Corydon,Soil and Water Conservation District Commissioner,,Phillip West,,601,0,601
