county,precinct,office,district,candidate,party,votes,absentee,election_day
Webster,Badger-Cooper-Newark,Badger Township Trustee,,Kirk Seltz,,1,0,1
Webster,Badger-Cooper-Newark,Badger Township Trustee,,Rick Pederson,,306,110,196
Webster,Badger-Cooper-Newark,Badger Township Trustee,,Write-In,,4,2,2
Webster,Burnside-Elkhorn-Otho-Pleasant Valley-Sumner,Burnside Township Trustee,,Forest Bintz,,116,50,66
Webster,Burnside-Elkhorn-Otho-Pleasant Valley-Sumner,Burnside Township Trustee,,Mark Lundgren,,159,69,90
Webster,Burnside-Elkhorn-Otho-Pleasant Valley-Sumner,Burnside Township Trustee,,Write-In,,0,0,0
Webster,Clay-Fulton-Johnson-Roland,Clay Township Trustee,,David Carlon,,94,36,58
Webster,Clay-Fulton-Johnson-Roland,Clay Township Trustee,,Jon Telleen,,83,35,48
Webster,Clay-Fulton-Johnson-Roland,Clay Township Trustee,,Write-In,,0,0,0
Webster,Colfax-Hardin-Washington-Webster-Yell,Colfax Township Trustee,,Chris Dencklau,,104,43,61
Webster,Colfax-Hardin-Washington-Webster-Yell,Colfax Township Trustee,,Lance Rossow,,70,31,39
Webster,Colfax-Hardin-Washington-Webster-Yell,Colfax Township Trustee,,Write-In,,0,0,0
Webster,Badger-Cooper-Newark,Constitutional Amendment 1,,No,,185,67,118
Webster,Burnside-Elkhorn-Otho-Pleasant Valley-Sumner,Constitutional Amendment 1,,No,,289,92,197
Webster,Clay-Fulton-Johnson-Roland,Constitutional Amendment 1,,No,,164,44,120
Webster,Colfax-Hardin-Washington-Webster-Yell,Constitutional Amendment 1,,No,,144,49,95
Webster,Dayton,Constitutional Amendment 1,,No,,113,33,80
Webster,Deer Creek-Jackson,Constitutional Amendment 1,,No,,80,22,58
Webster,Fort Dodge #1,Constitutional Amendment 1,,No,,221,99,122
Webster,Fort Dodge #10,Constitutional Amendment 1,,No,,182,80,102
Webster,Fort Dodge #11,Constitutional Amendment 1,,No,,286,129,157
Webster,Fort Dodge #12,Constitutional Amendment 1,,No,,125,56,69
Webster,Fort Dodge #2,Constitutional Amendment 1,,No,,196,81,115
Webster,Fort Dodge #3,Constitutional Amendment 1,,No,,134,53,81
Webster,Fort Dodge #4-Douglas,Constitutional Amendment 1,,No,,280,116,164
Webster,Fort Dodge #5,Constitutional Amendment 1,,No,,84,35,49
Webster,Fort Dodge #6,Constitutional Amendment 1,,No,,44,15,29
Webster,Fort Dodge #7,Constitutional Amendment 1,,No,,108,51,57
Webster,Fort Dodge #8,Constitutional Amendment 1,,No,,129,63,66
Webster,Fort Dodge #9,Constitutional Amendment 1,,No,,104,28,76
Webster,Gowrie-Lost Grove,Constitutional Amendment 1,,No,,142,37,105
Webster,Badger-Cooper-Newark,Constitutional Amendment 1,,Yes,,736,266,470
Webster,Burnside-Elkhorn-Otho-Pleasant Valley-Sumner,Constitutional Amendment 1,,Yes,,1162,403,759
Webster,Clay-Fulton-Johnson-Roland,Constitutional Amendment 1,,Yes,,662,229,433
Webster,Colfax-Hardin-Washington-Webster-Yell,Constitutional Amendment 1,,Yes,,523,165,358
Webster,Dayton,Constitutional Amendment 1,,Yes,,446,84,362
Webster,Deer Creek-Jackson,Constitutional Amendment 1,,Yes,,332,92,240
Webster,Fort Dodge #1,Constitutional Amendment 1,,Yes,,1032,518,514
Webster,Fort Dodge #10,Constitutional Amendment 1,,Yes,,688,329,359
Webster,Fort Dodge #11,Constitutional Amendment 1,,Yes,,1113,551,562
Webster,Fort Dodge #12,Constitutional Amendment 1,,Yes,,474,235,239
Webster,Fort Dodge #2,Constitutional Amendment 1,,Yes,,650,288,362
Webster,Fort Dodge #3,Constitutional Amendment 1,,Yes,,485,189,296
Webster,Fort Dodge #4-Douglas,Constitutional Amendment 1,,Yes,,1012,453,559
Webster,Fort Dodge #5,Constitutional Amendment 1,,Yes,,416,177,239
Webster,Fort Dodge #6,Constitutional Amendment 1,,Yes,,182,79,103
Webster,Fort Dodge #7,Constitutional Amendment 1,,Yes,,418,183,235
Webster,Fort Dodge #8,Constitutional Amendment 1,,Yes,,423,210,213
Webster,Fort Dodge #9,Constitutional Amendment 1,,Yes,,483,181,302
Webster,Gowrie-Lost Grove,Constitutional Amendment 1,,Yes,,648,172,476
Webster,Badger-Cooper-Newark,Constitutional Amendment 2,,No,,130,40,90
Webster,Burnside-Elkhorn-Otho-Pleasant Valley-Sumner,Constitutional Amendment 2,,No,,202,67,135
Webster,Clay-Fulton-Johnson-Roland,Constitutional Amendment 2,,No,,107,27,80
