county,precinct,vtd_id,match_method,confidence,source_file,source_row
Adair,Absentee and Special Ballots,,ambiguous,0.3076923076923077,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,2
Adair,Adair Summit Casey Walnut N Eureka,,ambiguous,0.4074074074074074,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,18
Adair,Bridgewater Jackson Washington,,ambiguous,0.5365853658536586,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,34
Adair,City Of Orient Orient Union,,ambiguous,0.43243243243243246,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,130
Adair,Fontanelle Richland S Summerset,,ambiguous,0.4444444444444444,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,66
Adair,N Grand River Grove N Lee,,ambiguous,0.6,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,114
Adair,S Eureka Prussia N Summerset,,ambiguous,0.46153846153846156,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,50
Adair,Se Greenfield & Twp S Lee Grndrvr,,ambiguous,0.46808510638297873,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,98
Adair,Stuart Lincoln Harrison Jefferson,,ambiguous,0.43636363636363634,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,146
Adair,Sw & N Greenfield,,ambiguous,0.6451612903225806,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,82
Adair Total,,,unmatched,0.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,162
Adams,Absentee and Special Ballots,,unmatched,0.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,182
Adams,Carbon,,unmatched,0.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,222
Adams,Corning 1A,,unmatched,0.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,242
