year,plan2_district,office,district,candidate,party,votes
2012,1,PRESIDENT VICE PRESIDENT,,BARACK OBAMA JOE BIDEN,DEMOCRATIC,13470.962913319678
2012,1,PRESIDENT VICE PRESIDENT,,GARY JOHNSON JAMES P GRAY,LIBERTARIAN,201.744310512455
2012,1,PRESIDENT VICE PRESIDENT,,GLORIA LARIVA STEFANIE BEACHAM,PARTY FOR SOCIALISM AND LIBERATION,9.664398108381
2012,1,PRESIDENT VICE PRESIDENT,,JAMES HARRIS ALYSON KENNEDY,SOCIALIST WORKERS PARTY,8.456348344833
2012,1,PRESIDENT VICE PRESIDENT,,JERRY LITZEL JIM LITZEL,NOMINATED BY PETITION,12.684522517250
2012,1,PRESIDENT VICE PRESIDENT,,JILL STEIN CHERI HONKALA,IOWA GREEN PARTY,54.966264241417
2012,1,PRESIDENT VICE PRESIDENT,,MITT ROMNEY PAUL RYAN,REPUBLICAN,13192.507442821949
2012,1,PRESIDENT VICE PRESIDENT,,OVER VOTES,,82.751408803013
2012,1,PRESIDENT VICE PRESIDENT,,UNDER VOTES,,82.147383921239
2012,1,PRESIDENT VICE PRESIDENT,,VIRGIL GOODE JAMES CLYMER,CONSTITUTION,56.778338886739
2012,1,PRESIDENT VICE PRESIDENT,,WRITE IN,,184.831613822788
2012,2,PRESIDENT VICE PRESIDENT,,BARACK OBAMA JOE BIDEN,DEMOCRATIC,6692.080084053234
2012,2,PRESIDENT VICE PRESIDENT,,GARY JOHNSON JAMES P GRAY,LIBERTARIAN,169.910693439178
2012,2,PRESIDENT VICE PRESIDENT,,GLORIA LARIVA STEFANIE BEACHAM,PARTY FOR SOCIALISM AND LIBERATION,2.616974083586
2012,2,PRESIDENT VICE PRESIDENT,,JAMES HARRIS ALYSON KENNEDY,SOCIALIST WORKERS PARTY,7.318818585104
2012,2,PRESIDENT VICE PRESIDENT,,JERRY LITZEL JIM LITZEL,NOMINATED BY PETITION,9.467896334345
2012,2,PRESIDENT VICE PRESIDENT,,JILL STEIN CHERI HONKALA,IOWA GREEN PARTY,45.892248424002
2012,2,PRESIDENT VICE PRESIDENT,,MITT ROMNEY PAUL RYAN,REPUBLICAN,24689.126196591176
2012,2,PRESIDENT VICE PRESIDENT,,OVER VOTES,,27.020663086622
2012,2,PRESIDENT VICE PRESIDENT,,UNDER VOTES,,121.211067009106
2012,2,PRESIDENT VICE PRESIDENT,,VIRGIL GOODE JAMES CLYMER,CONSTITUTION,76.637637170208
2012,2,PRESIDENT VICE PRESIDENT,,WRITE IN,,113.763833761382
