year,plan2_district,office,district,candidate,party,votes
2016,1,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,578.999036
2016,1,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,1264.005379
2016,1,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,157463.648046
2016,1,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,2527.011795
2016,1,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,12663.083511
2016,1,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,84.000418
2016,1,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,153791.557763
2016,1,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,2953.013054
2016,1,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,462.004888
2016,1,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,96.999951
2016,1,PRESIDENT,,WRITE IN,OTH,4113.003994
2016,1,U S SENATE,,CHARLES ALDRICH,LIB,9175.035175
2016,1,U S SENATE,,CHARLES E GRASSLEY,REP,184261.806092
2016,1,U S SENATE,,JIM HENNAGER,OTH,3698.001634
2016,1,U S SENATE,,MICHAEL LUICK THRAMS,OTH,1000.997010
2016,1,U S SENATE,,PATTY JUDGE,DEM,131256.485026
2016,1,U S SENATE,,WRITE IN,OTH,488.001462
2016,2,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,416.000871
2016,2,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,973.994266
2016,2,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,152901.323621
2016,2,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,2152.988080
2016,2,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,12519.915274
2016,2,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,59.999544
2016,2,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,131011.424992
2016,2,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,2240.986764
2016,2,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,444.994988
2016,2,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,86.000001
2016,2,PRESIDENT,,WRITE IN,OTH,3649.995136
2016,2,U S SENATE,,CHARLES ALDRICH,LIB,8445.963721
2016,2,U S SENATE,,CHARLES E GRASSLEY,REP,182597.164085
2016,2,U S SENATE,,JIM HENNAGER,OTH,3309.997768
2016,2,U S SENATE,,MICHAEL LUICK THRAMS,OTH,835.002837
2016,2,U S SENATE,,PATTY JUDGE,DEM,107641.498604
2016,2,U S SENATE,,WRITE IN,OTH,250.998486
2016,3,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,278.998991
2016,3,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,975.992760
2016,3,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,135576.463424
2016,3,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,2716.999229
2016,3,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,11838.943441
2016,3,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,55.999993
2016,3,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,130688.558340
2016,3,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,1947.990715
