year,plan2_district,office,district,candidate,party,votes
2016,10,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,24.833520
2016,10,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,35.829830
2016,10,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,8945.921311
2016,10,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,59.795960
2016,10,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,385.778945
2016,10,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,1.000000
2016,10,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,3918.000635
2016,10,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,63.789463
2016,10,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,20.386504
2016,10,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,5.077148
2016,10,PRESIDENT,,WRITE IN,OTH,90.896152
2016,10,U S SENATE,,CHARLES ALDRICH,LIB,258.174394
2016,10,U S SENATE,,CHARLES E GRASSLEY,REP,9724.354559
2016,10,U S SENATE,,JIM HENNAGER,OTH,154.872967
2016,10,U S SENATE,,MICHAEL LUICK THRAMS,OTH,34.180825
2016,10,U S SENATE,,PATTY JUDGE,DEM,3199.918904
2016,10,U S SENATE,,WRITE IN,OTH,10.532368
2016,100,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,2.000195
2016,100,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,3.000586
2016,100,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,572.107554
2016,100,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,4.001562
2016,100,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,24.005466
2016,100,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,1.000000
2016,100,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,278.035721
2016,100,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,5.000976
2016,100,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,3.000390
2016,100,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,0.000000
2016,100,PRESIDENT,,WRITE IN,OTH,3.001366
2016,100,U S SENATE,,CHARLES ALDRICH,LIB,22.003123
2016,100,U S SENATE,,CHARLES E GRASSLEY,REP,548.111067
2016,100,U S SENATE,,JIM HENNAGER,OTH,19.001366
2016,100,U S SENATE,,MICHAEL LUICK THRAMS,OTH,1.000390
2016,100,U S SENATE,,PATTY JUDGE,DEM,288.032793
2016,100,U S SENATE,,WRITE IN,OTH,0.000586
2016,11,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,19.998604
2016,11,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,60.998624
2016,11,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,9445.564100
2016,11,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,66.009482
2016,11,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,467.028839
2016,11,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,1.000011
2016,11,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,4704.306522
2016,11,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,92.010243
2016,11,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,23.004512
2016,11,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,3.000011
2016,11,PRESIDENT,,WRITE IN,OTH,127.002739
2016,11,U S SENATE,,CHARLES ALDRICH,LIB,339.018098
2016,11,U S SENATE,,CHARLES E GRASSLEY,REP,10291.626934
2016,11,U S SENATE,,JIM HENNAGER,OTH,160.019363
2016,11,U S SENATE,,MICHAEL LUICK THRAMS,OTH,29.998839
2016,11,U S SENATE,,PATTY JUDGE,DEM,3828.254076
2016,11,U S SENATE,,WRITE IN,OTH,4.002688
2016,12,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,8.000001
2016,12,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,24.999999
2016,12,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,5461.000797
2016,12,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,26.999998
2016,12,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,188.000020
2016,12,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,3.000000
