year,plan2_district,office,district,candidate,party,votes
2016,1,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,0.000000
2016,1,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,6.981246
2016,1,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,529.577367
2016,1,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,3.989283
2016,1,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,16.954454
2016,1,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,0.000000
2016,1,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,145.608843
2016,1,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,1.994642
2016,1,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,0.000000
2016,1,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,0.000000
2016,1,PRESIDENT,,WRITE IN,OTH,7.978567
2016,1,U S SENATE,,CHARLES ALDRICH,LIB,18.949096
2016,1,U S SENATE,,CHARLES E GRASSLEY,REP,554.510388
2016,1,U S SENATE,,JIM HENNAGER,OTH,6.981246
2016,1,U S SENATE,,MICHAEL LUICK THRAMS,OTH,1.994642
2016,1,U S SENATE,,PATTY JUDGE,DEM,119.678501
2016,1,U S SENATE,,WRITE IN,OTH,0.997321
2016,10,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,10.186945
2016,10,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,1.240069
2016,10,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,1038.068924
2016,10,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,11.370648
2016,10,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,59.178697
2016,10,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,0.000000
2016,10,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,615.769432
2016,10,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,10.989102
2016,10,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,5.531066
