year,plan2_district,office,district,candidate,party,votes
2020,1,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,142.000000
2020,1,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,449.006959
2020,1,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,215743.771401
2020,1,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,876.008346
2020,1,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,5145.074797
2020,1,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,203401.275345
2020,1,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,803.006921
2020,1,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GFH,0.000000
2020,1,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,141.001727
2020,1,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,228.999997
2020,1,PRESIDENT,,WRITE IN,,1131.007129
2020,1,U S SENATE,,JONI ERNST,REP,206548.708556
2020,1,U S SENATE,,RICK STEWART,LIB,9843.092062
2020,1,U S SENATE,,SUZANNE HERZOG,,3265.025593
2020,1,U S SENATE,,THERESA GREENFIELD,DEM,202708.300849
2020,1,U S SENATE,,WRITE IN,,305.002476
2020,2,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,146.999998
2020,2,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,489.993038
2020,2,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,222310.215404
2020,2,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,880.991641
2020,2,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,5073.924997
2020,2,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,203244.717829
2020,2,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,817.993043
2020,2,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GFH,7.000000
2020,2,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,126.998273
2020,2,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,276.000002
2020,2,PRESIDENT,,WRITE IN,,1042.992821
2020,2,U S SENATE,,JONI ERNST,REP,214585.279350
2020,2,U S SENATE,,RICK STEWART,LIB,9465.907510
2020,2,U S SENATE,,SUZANNE HERZOG,,3366.974249
2020,2,U S SENATE,,THERESA GREENFIELD,DEM,202626.691749
2020,2,U S SENATE,,WRITE IN,,259.997504
2020,3,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,119.000133
2020,3,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,329.000705
2020,3,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,207042.385996
2020,3,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,670.995260
2020,3,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,5085.979134
2020,3,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,205590.526539
2020,3,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,812.998178
2020,3,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,135.000103
2020,3,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,314.000778
2020,3,PRESIDENT,,WRITE IN,,1095.997606
2020,3,U S SENATE,,JONI ERNST,REP,203182.461266
2020,3,U S SENATE,,RICK STEWART,LIB,8742.961638
2020,3,U S SENATE,,SUZANNE HERZOG,,3335.986445
2020,3,U S SENATE,,THERESA GREENFIELD,DEM,201284.494111
2020,3,U S SENATE,,WRITE IN,,291.997703
2020,4,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,135.999869
2020,4,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,438.999298
2020,4,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,252575.627199
2020,4,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,647.004753
2020,4,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,4332.021072
2020,4,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,146824.480287
2020,4,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,776.001859
2020,4,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,135.999897
2020,4,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,262.999223
2020,4,PRESIDENT,,WRITE IN,,1067.002444
2020,4,U S SENATE,,JONI ERNST,REP,240680.550827
2020,4,U S SENATE,,RICK STEWART,LIB,8909.038790
2020,4,U S SENATE,,SUZANNE HERZOG,,3832.013713
2020,4,U S SENATE,,THERESA GREENFIELD,DEM,148239.513291
2020,4,U S SENATE,,WRITE IN,,354.002316
