year,plan2_district,office,district,candidate,party,votes
2000,1,PRESIDENT,,,DEM,9473.431992850075
2000,1,PRESIDENT,,,GREEN,526.264289485403
2000,1,PRESIDENT,,,REP,9742.153050927138
2000,1,PRESIDENT,,,SC,314.672508087852
2000,2,PRESIDENT,,,DEM,6075.530247504175
2000,2,PRESIDENT,,,GREEN,369.510841794961
2000,2,PRESIDENT,,,REP,14249.439813816056
2000,2,PRESIDENT,,,SC,153.084870417931
2000,3,PRESIDENT,,,DEM,11218.356991506213
2000,3,PRESIDENT,,,GREEN,650.385265191329
2000,3,PRESIDENT,,,REP,17069.505002751925
2000,3,PRESIDENT,,,SC,408.909817018411
2000,4,PRESIDENT,,,DEM,12582.000000000000
2000,4,PRESIDENT,,,GREEN,558.000000000000
2000,4,PRESIDENT,,,REP,14433.000000000000
2000,4,PRESIDENT,,,SC,282.000000000000
2000,5,PRESIDENT,,,DEM,15218.153787011657
2000,5,PRESIDENT,,,GREEN,686.874525208837
2000,5,PRESIDENT,,,REP,16621.580752179521
2000,5,PRESIDENT,,,SC,303.515696707175
2000,6,PRESIDENT,,,DEM,12740.357468490041
2000,6,PRESIDENT,,,GREEN,524.305913505139
2000,6,PRESIDENT,,,REP,16002.431667556939
2000,6,PRESIDENT,,,SC,320.858189116765
2000,7,PRESIDENT,,,DEM,8637.526981127879
2000,7,PRESIDENT,,,GREEN,471.965078319470
2000,7,PRESIDENT,,,REP,10478.321380325362
2000,7,PRESIDENT,,,SC,349.817107768631
2000,8,PRESIDENT,,,DEM,8978.844521866495
2000,8,PRESIDENT,,,GREEN,491.546442601011
2000,8,PRESIDENT,,,REP,14446.780245896745
2000,8,PRESIDENT,,,SC,210.448555547219
2000,9,PRESIDENT,,,DEM,12289.242449193538
2000,9,PRESIDENT,,,GREEN,598.279346529534
2000,9,PRESIDENT,,,REP,19203.390717931528
2000,9,PRESIDENT,,,SC,319.466355758308
2000,10,PRESIDENT,,,DEM,9200.798009643464
2000,10,PRESIDENT,,,GREEN,508.147643893850
2000,10,PRESIDENT,,,REP,10688.788086546318
2000,10,PRESIDENT,,,SC,178.693255336016
2000,11,PRESIDENT,,,DEM,8651.829067927816
2000,11,PRESIDENT,,,GREEN,427.370142260968
2000,11,PRESIDENT,,,REP,9048.111861950769
2000,11,PRESIDENT,,,SC,173.012223078357
2000,12,PRESIDENT,,,DEM,12772.266182704137
2000,12,PRESIDENT,,,GREEN,499.566776368101
2000,12,PRESIDENT,,,REP,14734.226205532819
2000,12,PRESIDENT,,,SC,274.668205498914
2000,13,PRESIDENT,,,DEM,12054.247544044816
2000,13,PRESIDENT,,,GREEN,539.699033855647
2000,13,PRESIDENT,,,REP,11878.978728586506
2000,13,PRESIDENT,,,SC,277.349516927823
2000,14,PRESIDENT,,,DEM,1999.816085994487
2000,14,PRESIDENT,,,GREEN,157.743653176738
2000,14,PRESIDENT,,,REP,1832.365310883400
2000,14,PRESIDENT,,,SC,75.031331408542
2000,15,PRESIDENT,,,DEM,13143.103442727979
2000,15,PRESIDENT,,,GREEN,381.525240433520
2000,15,PRESIDENT,,,REP,9184.529792696199
2000,15,PRESIDENT,,,SC,185.475306972208
2000,16,PRESIDENT,,,DEM,13060.806523807922
2000,16,PRESIDENT,,,GREEN,528.265251615849
2000,16,PRESIDENT,,,REP,15718.276473391184
2000,16,PRESIDENT,,,SC,150.711915160777
2000,17,PRESIDENT,,,DEM,14483.201272427554
2000,17,PRESIDENT,,,GREEN,614.644527245062
2000,17,PRESIDENT,,,REP,8253.924288747861
2000,17,PRESIDENT,,,SC,188.498646908361
2000,18,PRESIDENT,,,DEM,16145.740520044137
2000,18,PRESIDENT,,,GREEN,748.862394228993
2000,18,PRESIDENT,,,REP,12491.911594094823
2000,18,PRESIDENT,,,SC,197.572993376670
2000,19,PRESIDENT,,,DEM,9525.703905500430
2000,19,PRESIDENT,,,GREEN,441.334773516860
2000,19,PRESIDENT,,,REP,12079.979716111742
2000,19,PRESIDENT,,,SC,217.256174641043
2000,20,PRESIDENT,,,DEM,11572.259523885461
2000,20,PRESIDENT,,,GREEN,359.816034858956
2000,20,PRESIDENT,,,REP,9633.887602575931
2000,20,PRESIDENT,,,SC,160.454519094753
2000,21,PRESIDENT,,,DEM,6253.764534501252
2000,21,PRESIDENT,,,GREEN,192.367453552286
2000,21,PRESIDENT,,,REP,6908.951683794199
2000,21,PRESIDENT,,,SC,78.729834402291
2000,22,PRESIDENT,,,DEM,10525.983013624820
2000,22,PRESIDENT,,,GREEN,388.866065645501
2000,22,PRESIDENT,,,REP,12681.783895395529
2000,22,PRESIDENT,,,SC,131.134929217653
2000,23,PRESIDENT,,,DEM,5526.173843346145
2000,23,PRESIDENT,,,GREEN,216.663973902950
2000,23,PRESIDENT,,,REP,5947.956566219560
2000,23,PRESIDENT,,,SC,96.307869509015
2000,24,PRESIDENT,,,DEM,11678.909600026045
2000,24,PRESIDENT,,,GREEN,547.702325461918
2000,24,PRESIDENT,,,REP,11140.735997545946
2000,24,PRESIDENT,,,SC,101.306210335135
2000,25,PRESIDENT,,,DEM,8936.823807966119
2000,25,PRESIDENT,,,GREEN,1017.240483276332
2000,25,PRESIDENT,,,REP,8303.005427162692
2000,25,PRESIDENT,,,SC,249.208599780511
2000,26,PRESIDENT,,,DEM,8511.575261460159
2000,26,PRESIDENT,,,GREEN,572.020559272564
2000,26,PRESIDENT,,,REP,9275.556387287234
2000,26,PRESIDENT,,,SC,220.789226537365
2000,27,PRESIDENT,,,DEM,13927.328933239152
2000,27,PRESIDENT,,,GREEN,664.516114490516
2000,27,PRESIDENT,,,REP,16616.200768274710
2000,27,PRESIDENT,,,SC,264.261523962878
2000,28,PRESIDENT,,,DEM,12827.086394245423
2000,28,PRESIDENT,,,GREEN,615.736880576050
2000,28,PRESIDENT,,,REP,16142.519328154582
2000,28,PRESIDENT,,,SC,213.294539111672
2000,29,PRESIDENT,,,DEM,14553.721524786764
2000,29,PRESIDENT,,,GREEN,651.655791746858
2000,29,PRESIDENT,,,REP,15178.532147464190
2000,29,PRESIDENT,,,SC,213.169189294390
2000,30,PRESIDENT,,,DEM,14478.278475213236
2000,30,PRESIDENT,,,GREEN,606.344208253142
2000,30,PRESIDENT,,,REP,11475.467852535810
2000,30,PRESIDENT,,,SC,263.830810705610
