year,plan2_district,office,district,candidate,party,votes
2000,1,PRESIDENT,,,DEM,7893.361091
2000,1,PRESIDENT,,,GREEN,372.244006
2000,1,PRESIDENT,,,REP,7532.112079
2000,1,PRESIDENT,,,SC,205.344004
2000,10,PRESIDENT,,,DEM,7095.069545
2000,10,PRESIDENT,,,GREEN,347.057377
2000,10,PRESIDENT,,,REP,7366.386296
2000,10,PRESIDENT,,,SC,122.277677
2000,11,PRESIDENT,,,DEM,4881.897201
2000,11,PRESIDENT,,,GREEN,174.995775
2000,11,PRESIDENT,,,REP,4788.914138
2000,11,PRESIDENT,,,SC,65.994369
2000,12,PRESIDENT,,,DEM,4699.714924
2000,12,PRESIDENT,,,GREEN,201.765101
2000,12,PRESIDENT,,,REP,5430.027049
2000,12,PRESIDENT,,,SC,112.881745
2000,13,PRESIDENT,,,DEM,7482.005001
2000,13,PRESIDENT,,,GREEN,314.000273
2000,13,PRESIDENT,,,REP,6824.004675
2000,13,PRESIDENT,,,SC,154.000213
2000,14,PRESIDENT,,,DEM,7.268253
2000,14,PRESIDENT,,,GREEN,0.234673
2000,14,PRESIDENT,,,REP,6.938162
2000,14,PRESIDENT,,,SC,0.118414
2000,15,PRESIDENT,,,DEM,9840.615907
2000,15,PRESIDENT,,,GREEN,283.787874
2000,15,PRESIDENT,,,REP,6061.723036
2000,15,PRESIDENT,,,SC,145.215286
2000,16,PRESIDENT,,,DEM,9781.834074
2000,16,PRESIDENT,,,GREEN,427.595463
2000,16,PRESIDENT,,,REP,12619.865646
2000,16,PRESIDENT,,,SC,108.874601
2000,17,PRESIDENT,,,DEM,11167.916427
2000,17,PRESIDENT,,,GREEN,516.528403
2000,17,PRESIDENT,,,REP,5119.016832
2000,17,PRESIDENT,,,SC,148.082618
2000,18,PRESIDENT,,,DEM,12831.077228
2000,18,PRESIDENT,,,GREEN,650.764657
2000,18,PRESIDENT,,,REP,9357.591193
2000,18,PRESIDENT,,,SC,157.164543
2000,19,PRESIDENT,,,DEM,6348.247661
2000,19,PRESIDENT,,,GREEN,262.020686
2000,19,PRESIDENT,,,REP,8534.980144
2000,19,PRESIDENT,,,SC,104.012500
2000,2,PRESIDENT,,,DEM,2471.033692
2000,2,PRESIDENT,,,GREEN,167.002242
