year,vtd_id,office,district,candidate,party,votes
2004,19003003001,PRESIDENT,,,DEM,102.000000
2004,19003003001,PRESIDENT,,,OTH,2.000000
2004,19003003001,PRESIDENT,,,REP,155.000000
2004,19003003001,PRESIDENT,,,SC,1.000000
2004,19003003001,US SENATE,,,DEM,35.000000
2004,19003003001,US SENATE,,,OTH,8.000000
2004,19003003001,US SENATE,,,REP,214.000000
2004,19003003001,US SENATE,,,SC,0.000000
2004,19003003006,PRESIDENT,,,DEM,104.000000
2004,19003003006,PRESIDENT,,,OTH,3.000000
2004,19003003006,PRESIDENT,,,REP,130.000000
2004,19003003006,PRESIDENT,,,SC,0.000000
2004,19003003006,US SENATE,,,DEM,36.000000
2004,19003003006,US SENATE,,,OTH,4.000000
2004,19003003006,US SENATE,,,REP,192.000000
2004,19003003006,US SENATE,,,SC,0.000000
2004,19003003007,PRESIDENT,,,DEM,37.000000
2004,19003003007,PRESIDENT,,,OTH,2.000000
2004,19003003007,PRESIDENT,,,REP,58.000000
2004,19003003007,PRESIDENT,,,SC,0.000000
2004,19003003007,US SENATE,,,DEM,11.000000
2004,19003003007,US SENATE,,,OTH,2.000000
2004,19003003007,US SENATE,,,REP,84.000000
2004,19003003007,US SENATE,,,SC,0.000000
2004,19003003008,PRESIDENT,,,DEM,53.000000
2004,19003003008,PRESIDENT,,,OTH,1.000000
2004,19003003008,PRESIDENT,,,REP,75.000000
2004,19003003008,PRESIDENT,,,SC,0.000000
2004,19003003008,US SENATE,,,DEM,17.000000
2004,19003003008,US SENATE,,,OTH,1.000000
2004,19003003008,US SENATE,,,REP,108.000000
2004,19003003008,US SENATE,,,SC,0.000000
2004,19003003016,PRESIDENT,,,DEM,51.000000
2004,19003003016,PRESIDENT,,,OTH,3.000000
2004,19003003016,PRESIDENT,,,REP,83.000000
2004,19003003016,PRESIDENT,,,SC,0.000000
2004,19003003016,US SENATE,,,DEM,13.000000
2004,19003003016,US SENATE,,,OTH,3.000000
2004,19003003016,US SENATE,,,REP,117.000000
2004,19003003016,US SENATE,,,SC,0.000000
2004,19003003017,PRESIDENT,,,DEM,90.000000
2004,19003003017,PRESIDENT,,,OTH,4.000000
2004,19003003017,PRESIDENT,,,REP,104.000000
2004,19003003017,PRESIDENT,,,SC,0.000000
2004,19003003017,US SENATE,,,DEM,34.000000
2004,19003003017,US SENATE,,,OTH,4.000000
