county,precinct,vtd_id,match_method,confidence,source_file,source_row
Adair,Absentee and Special Ballots,,ambiguous,0.38095238095238093,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,2
Adair,Adair Summit Casey Walnut N Eureka,,ambiguous,0.4166666666666667,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,18
Adair,Bridgewater Jackson Washington,,ambiguous,0.5365853658536586,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,34
Adair,City Of Orient Orient Union,,ambiguous,0.36363636363636365,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,130
Adair,Fontanelle Richland S Summerset,,ambiguous,0.45,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,66
Adair,N Grand River Grove N Lee,,ambiguous,0.6111111111111112,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,114
Adair,S Eureka Prussia N Summerset,,ambiguous,0.4864864864864865,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,50
Adair,Se Greenfield & Twp S Lee Grndrvr,,ambiguous,0.5116279069767442,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,98
Adair,Stuart Lincoln Harrison Jefferson,,ambiguous,0.5,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,146
Adair,Sw & N Greenfield,,ambiguous,0.65,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,82
Adams,Absentee and Special Ballots,,ambiguous,0.3018867924528302,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,182
Adams,Carbon,19003003001,exact,1.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,222
Adams,Corning 1A,,ambiguous,0.8333333333333334,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,242
Adams,Corning 1B,,ambiguous,0.8333333333333334,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,302
Adams,Corning 2A,19003003006,fuzzy,0.9,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,262
Adams,Corning 2B,19003003006,fuzzy,0.9,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,322
Adams,Corning 3A,19003003007,fuzzy,0.9166666666666666,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,282
Adams,Corning 3B,19003003008,fuzzy,0.9166666666666666,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,342
Adams,Nodaway,19003003016,exact,1.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,362
Adams,Prescott,19003003017,exact,1.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,382
Adams,Quincy,,ambiguous,0.5454545454545454,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,402
Adams,SE Adams,,ambiguous,0.6363636363636364,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,202
Allamakee,Absentee and Special Ballots,,ambiguous,0.4745762711864407,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,442
Allamakee,Center Twp,19005005001,exact,1.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,462
Allamakee,Fairview Twp,19005005002,exact,1.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,522
Allamakee,Franklin,19005005003,exact,1.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,502
Allamakee,French Creek,19005005004,exact,1.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,482
Allamakee,Hanover,19005005005,exact,1.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,542
Allamakee,Iowa New Albin,,ambiguous,0.45454545454545453,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,562
Allamakee,Jefferson,,ambiguous,0.6206896551724138,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,582
Allamakee,Lafayette,19005005008,exact,1.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,602
Allamakee,Lansing,19005005009,exact,1.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,642
Allamakee,Linton,19005005010,exact,1.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,662
Allamakee,Ludlow,,ambiguous,0.46153846153846156,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,622
Allamakee,Makee,,ambiguous,0.42857142857142855,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,682
Allamakee,Paint Creek,19005005013,exact,1.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,702
Allamakee,Post,,ambiguous,0.36363636363636365,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,722
Allamakee,Postville,,ambiguous,0.6666666666666666,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,742
Allamakee,Taylor Harpers Ferry,,ambiguous,0.46153846153846156,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,762
Allamakee,Union City Twp,19005005017,exact,1.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,782
Allamakee,Union Prairie,,ambiguous,0.7027027027027027,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,802
Allamakee,Waterloo,19005005019,exact,1.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,882
Allamakee,Waukon 1,19005005020,exact,1.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,822
Allamakee,Waukon 2,,ambiguous,0.875,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,842
Allamakee,Waukon 3,19005005022,exact,1.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,862
Appanoose,Absentee and Special Ballots,,ambiguous,0.34782608695652173,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,922
Appanoose,Bellair Lincoln,,ambiguous,0.5238095238095238,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,938
Appanoose,Caldwell,19007007002,exact,1.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,1002
Appanoose,Centerville W1,19007007003,exact,1.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,954
Appanoose,Centerville W2,19007007004,exact,1.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,970
Appanoose,Centerville W3,19007007005,exact,1.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,986
Appanoose,Johns Independence,,ambiguous,0.8,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,1018
Appanoose,Pleasant Franklin,,ambiguous,0.64,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,1034
Appanoose,Taylor Chariton,,ambiguous,0.6956521739130435,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,1050
Appanoose,Udell,19007007019,exact,1.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,1066
Appanoose,Union,19007007020,exact,1.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,1082
Appanoose,Vermillion Douglas Sharon,,ambiguous,0.5714285714285714,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,1098
Appanoose,Walnut,,ambiguous,0.6,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,1114
Appanoose,Washington Wells,,ambiguous,0.6842105263157895,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,1130
Audubon,Absentee and Special Ballots,,ambiguous,0.3333333333333333,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,1166
Audubon,Audubon Exire Greeley Hamlin Twps & Exira City,,ambiguous,0.2807017543859649,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,1262
Audubon,Douglas Melville N 1/2 Leroy Twps N 1/2 Audubon,,ambiguous,0.48484848484848486,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,1198
Audubon,Leroy Hamlin Twps & S 1/2 Audubon City,,ambiguous,0.576271186440678,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,1214
Audubon,Oakfield Twp Brayton City,,ambiguous,0.7804878048780488,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,1246
Audubon,Sharon Twp Kimballton City,,ambiguous,0.42857142857142855,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,1230
Audubon,Viola Cameron Lincoln Twps & Gray City,,ambiguous,0.5357142857142857,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,1182
Benton,Absentee and Special Ballots,,ambiguous,0.3333333333333333,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,1298
Benton,Belle Plaine 1,19011011001,exact,1.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,1318
Benton,Belle Plaine 2,19011011002,exact,1.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,1338
Benton,Belle Plaine 3,19011011003,exact,1.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,1358
