year,plan2_district,office,district,candidate,party,votes
2016,1,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,595.000011
2016,1,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,1325.000051
2016,1,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,168670.006091
2016,1,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,2477.000024
2016,1,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,12842.000389
2016,1,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,80.000000
2016,1,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,150060.003619
2016,1,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,2928.000043
2016,1,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,471.000012
2016,1,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,102.000011
2016,1,PRESIDENT,,WRITE IN,OTH,4130.000132
2016,1,U S SENATE,,CHARLES ALDRICH,LIB,9359.000208
2016,1,U S SENATE,,CHARLES E GRASSLEY,REP,194172.006573
2016,1,U S SENATE,,JIM HENNAGER,OTH,3860.000101
2016,1,U S SENATE,,MICHAEL LUICK THRAMS,OTH,983.000022
2016,1,U S SENATE,,PATTY JUDGE,DEM,128893.003347
2016,1,U S SENATE,,WRITE IN,OTH,472.000001
2016,2,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,456.000000
2016,2,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,1024.999999
2016,2,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,170345.999541
2016,2,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,2322.999996
2016,2,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,13817.999966
2016,2,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,68.000000
2016,2,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,147618.999680
2016,2,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,2530.999998
2016,2,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,517.999998
2016,2,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,88.999999
2016,2,PRESIDENT,,WRITE IN,OTH,3974.999992
2016,2,U S SENATE,,CHARLES ALDRICH,LIB,9338.999983
2016,2,U S SENATE,,CHARLES E GRASSLEY,REP,202808.999459
2016,2,U S SENATE,,JIM HENNAGER,OTH,3594.999991
2016,2,U S SENATE,,MICHAEL LUICK THRAMS,OTH,889.999997
2016,2,U S SENATE,,PATTY JUDGE,DEM,121722.999746
2016,2,U S SENATE,,WRITE IN,OTH,280.000000
