year,plan2_district,office,district,candidate,party,votes
2016,1,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,89.012706
2016,1,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,105.002667
2016,1,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,11657.462307
2016,1,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,131.003829
2016,1,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,659.061633
2016,1,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,5.999838
2016,1,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,10196.998476
2016,1,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,188.043802
2016,1,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,45.022176
2016,1,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,8.003151
2016,1,PRESIDENT,,WRITE IN,OTH,350.013820
2016,1,U S SENATE,,CHARLES ALDRICH,LIB,563.074109
2016,1,U S SENATE,,CHARLES E GRASSLEY,REP,13086.565693
2016,1,U S SENATE,,JIM HENNAGER,OTH,463.049913
2016,1,U S SENATE,,MICHAEL LUICK THRAMS,OTH,58.001367
2016,1,U S SENATE,,PATTY JUDGE,DEM,8822.876491
2016,1,U S SENATE,,WRITE IN,OTH,23.005687
2016,10,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,112.613433
2016,10,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,54.655992
2016,10,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,13171.995872
2016,10,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,155.190533
2016,10,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,942.954969
2016,10,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,2.998395
2016,10,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,10508.840486
2016,10,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,236.266004
2016,10,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,101.949141
2016,10,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,4.998918
2016,10,PRESIDENT,,WRITE IN,OTH,276.583805
2016,10,U S SENATE,,CHARLES ALDRICH,LIB,871.757777
2016,10,U S SENATE,,CHARLES E GRASSLEY,REP,13886.605678
2016,10,U S SENATE,,JIM HENNAGER,OTH,926.818737
2016,10,U S SENATE,,MICHAEL LUICK THRAMS,OTH,109.656334
2016,10,U S SENATE,,PATTY JUDGE,DEM,8936.249818
2016,10,U S SENATE,,WRITE IN,OTH,35.608734
2016,11,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,27.407248
