year,vtd_id,office,district,candidate,party,votes
2018,19001001001,ATTORNEY GENERAL,,MARCO BATTAGLIA,LIB,76.649973
2018,19001001001,ATTORNEY GENERAL,,TOM MILLER,DEM,225.993790
2018,19001001001,ATTORNEY GENERAL,,WRITE IN,,1.978064
2018,19001001001,AUDITOR OF STATE,,FRED PERRYMAN,LIB,8.406771
2018,19001001001,AUDITOR OF STATE,,MARY MOSIMAN,REP,209.180248
2018,19001001001,AUDITOR OF STATE,,ROB SAND,DEM,116.705765
2018,19001001001,AUDITOR OF STATE,,WRITE IN,,0.000000
2018,19001001001,GOVERNOR,,FRED HUBBELL RITA R HART,DEM,85.551260
2018,19001001001,GOVERNOR,,GARY SIEGWARTH NATALIA BLASKOVICH,CWP,1.978064
2018,19001001001,GOVERNOR,,JAKE PORTER LYNNE GENTRY,LIB,4.450644
2018,19001001001,GOVERNOR,,KIM REYNOLDS ADAM GREGG,REP,250.225072
2018,19001001001,GOVERNOR,,WRITE IN,,0.000000
2018,19001001001,SECRETARY OF AGRICULTURE,,MIKE NAIG,REP,236.378625
2018,19001001001,SECRETARY OF AGRICULTURE,,RICK STEWART,LIB,7.417739
2018,19001001001,SECRETARY OF AGRICULTURE,,TIM GANNON,DEM,89.507387
2018,19001001001,SECRETARY OF AGRICULTURE,,WRITE IN,,0.000000
2018,19001001001,SECRETARY OF STATE,,DEIDRE DEJEAR,DEM,74.177393
2018,19001001001,SECRETARY OF STATE,,JULES OFENBAKH,LIB,7.417739
2018,19001001001,SECRETARY OF STATE,,PAUL D PATE,REP,255.170232
2018,19001001001,SECRETARY OF STATE,,WRITE IN,,0.000000
2018,19001001001,TREASURER OF STATE,,JEREMY N DAVIS,REP,178.520259
2018,19001001001,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEM,148.849302
2018,19001001001,TREASURER OF STATE,,TIMOTHY HIRD,LIB,9.395803
2018,19001001001,TREASURER OF STATE,,WRITE IN,,0.000000
2018,19001001002,ATTORNEY GENERAL,,MARCO BATTAGLIA,LIB,19.106030
2018,19001001002,ATTORNEY GENERAL,,TOM MILLER,DEM,56.331971
2018,19001001002,ATTORNEY GENERAL,,WRITE IN,,0.493059
2018,19001001002,AUDITOR OF STATE,,FRED PERRYMAN,LIB,2.095500
2018,19001001002,AUDITOR OF STATE,,MARY MOSIMAN,REP,52.140971
2018,19001001002,AUDITOR OF STATE,,ROB SAND,DEM,29.090471
2018,19001001002,AUDITOR OF STATE,,WRITE IN,,0.000000
2018,19001001002,GOVERNOR,,FRED HUBBELL RITA R HART,DEM,21.324794
2018,19001001002,GOVERNOR,,GARY SIEGWARTH NATALIA BLASKOVICH,CWP,0.493059
2018,19001001002,GOVERNOR,,JAKE PORTER LYNNE GENTRY,LIB,1.109382
2018,19001001002,GOVERNOR,,KIM REYNOLDS ADAM GREGG,REP,62.371942
2018,19001001002,GOVERNOR,,WRITE IN,,0.000000
2018,19001001002,SECRETARY OF AGRICULTURE,,MIKE NAIG,REP,58.920530
2018,19001001002,SECRETARY OF AGRICULTURE,,RICK STEWART,LIB,1.848971
2018,19001001002,SECRETARY OF AGRICULTURE,,TIM GANNON,DEM,22.310912
2018,19001001002,SECRETARY OF AGRICULTURE,,WRITE IN,,0.000000
2018,19001001002,SECRETARY OF STATE,,DEIDRE DEJEAR,DEM,18.489706
2018,19001001002,SECRETARY OF STATE,,JULES OFENBAKH,LIB,1.848971
2018,19001001002,SECRETARY OF STATE,,PAUL D PATE,REP,63.604589
2018,19001001002,SECRETARY OF STATE,,WRITE IN,,0.000000
2018,19001001002,TREASURER OF STATE,,JEREMY N DAVIS,REP,44.498559
2018,19001001002,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEM,37.102677
2018,19001001002,TREASURER OF STATE,,TIMOTHY HIRD,LIB,2.342029
2018,19001001002,TREASURER OF STATE,,WRITE IN,,0.000000
2018,19001001003,ATTORNEY GENERAL,,MARCO BATTAGLIA,LIB,16.703912
2018,19001001003,ATTORNEY GENERAL,,TOM MILLER,DEM,49.249599
2018,19001001003,ATTORNEY GENERAL,,WRITE IN,,0.431069
2018,19001001003,AUDITOR OF STATE,,FRED PERRYMAN,LIB,1.832042
2018,19001001003,AUDITOR OF STATE,,MARY MOSIMAN,REP,45.585515
2018,19001001003,AUDITOR OF STATE,,ROB SAND,DEM,25.433054
2018,19001001003,AUDITOR OF STATE,,WRITE IN,,0.000000
2018,19001001003,GOVERNOR,,FRED HUBBELL RITA R HART,DEM,18.643721
2018,19001001003,GOVERNOR,,GARY SIEGWARTH NATALIA BLASKOVICH,CWP,0.431069
2018,19001001003,GOVERNOR,,JAKE PORTER LYNNE GENTRY,LIB,0.969905
2018,19001001003,GOVERNOR,,KIM REYNOLDS ADAM GREGG,REP,54.530191
2018,19001001003,GOVERNOR,,WRITE IN,,0.000000
2018,19001001003,SECRETARY OF AGRICULTURE,,MIKE NAIG,REP,51.512710
2018,19001001003,SECRETARY OF AGRICULTURE,,RICK STEWART,LIB,1.616508
2018,19001001003,SECRETARY OF AGRICULTURE,,TIM GANNON,DEM,19.505859
2018,19001001003,SECRETARY OF AGRICULTURE,,WRITE IN,,0.000000
2018,19001001003,SECRETARY OF STATE,,DEIDRE DEJEAR,DEM,16.165076
2018,19001001003,SECRETARY OF STATE,,JULES OFENBAKH,LIB,1.616508
2018,19001001003,SECRETARY OF STATE,,PAUL D PATE,REP,55.607863
2018,19001001003,SECRETARY OF STATE,,WRITE IN,,0.000000
2018,19001001003,TREASURER OF STATE,,JEREMY N DAVIS,REP,38.903951
2018,19001001003,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEM,32.437920
2018,19001001003,TREASURER OF STATE,,TIMOTHY HIRD,LIB,2.047576
2018,19001001003,TREASURER OF STATE,,WRITE IN,,0.000000
2018,19001001004,ATTORNEY GENERAL,,MARCO BATTAGLIA,LIB,0.998878
2018,19001001004,ATTORNEY GENERAL,,TOM MILLER,DEM,2.945079
2018,19001001004,ATTORNEY GENERAL,,WRITE IN,,0.025778
2018,19001001004,AUDITOR OF STATE,,FRED PERRYMAN,LIB,0.109554
2018,19001001004,AUDITOR OF STATE,,MARY MOSIMAN,REP,2.725971
2018,19001001004,AUDITOR OF STATE,,ROB SAND,DEM,1.520873
2018,19001001004,AUDITOR OF STATE,,WRITE IN,,0.000000
2018,19001001004,GOVERNOR,,FRED HUBBELL RITA R HART,DEM,1.114877
2018,19001001004,GOVERNOR,,GARY SIEGWARTH NATALIA BLASKOVICH,CWP,0.025778
2018,19001001004,GOVERNOR,,JAKE PORTER LYNNE GENTRY,LIB,0.057999
2018,19001001004,GOVERNOR,,KIM REYNOLDS ADAM GREGG,REP,3.260854
2018,19001001004,GOVERNOR,,WRITE IN,,0.000000
2018,19001001004,SECRETARY OF AGRICULTURE,,MIKE NAIG,REP,3.080411
2018,19001001004,SECRETARY OF AGRICULTURE,,RICK STEWART,LIB,0.096666
2018,19001001004,SECRETARY OF AGRICULTURE,,TIM GANNON,DEM,1.166432
2018,19001001004,SECRETARY OF AGRICULTURE,,WRITE IN,,0.000000
2018,19001001004,SECRETARY OF STATE,,DEIDRE DEJEAR,DEM,0.966656
2018,19001001004,SECRETARY OF STATE,,JULES OFENBAKH,LIB,0.096666
2018,19001001004,SECRETARY OF STATE,,PAUL D PATE,REP,3.325298
2018,19001001004,SECRETARY OF STATE,,WRITE IN,,0.000000
2018,19001001004,TREASURER OF STATE,,JEREMY N DAVIS,REP,2.326419
2018,19001001004,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEM,1.939757
2018,19001001004,TREASURER OF STATE,,TIMOTHY HIRD,LIB,0.122443
2018,19001001004,TREASURER OF STATE,,WRITE IN,,0.000000
2018,19001001005,ATTORNEY GENERAL,,MARCO BATTAGLIA,LIB,13.428425
2018,19001001005,ATTORNEY GENERAL,,TOM MILLER,DEM,49.900693
2018,19001001005,ATTORNEY GENERAL,,WRITE IN,,0.790523
2018,19001001005,AUDITOR OF STATE,,FRED PERRYMAN,LIB,1.630186
2018,19001001005,AUDITOR OF STATE,,MARY MOSIMAN,REP,37.992646
2018,19001001005,AUDITOR OF STATE,,ROB SAND,DEM,32.258378
2018,19001001005,AUDITOR OF STATE,,WRITE IN,,0.000000
2018,19001001005,GOVERNOR,,FRED HUBBELL RITA R HART,DEM,26.179620
2018,19001001005,GOVERNOR,,GARY SIEGWARTH NATALIA BLASKOVICH,CWP,0.426410
2018,19001001005,GOVERNOR,,JAKE PORTER LYNNE GENTRY,LIB,0.777366
2018,19001001005,GOVERNOR,,KIM REYNOLDS ADAM GREGG,REP,46.658594
2018,19001001005,GOVERNOR,,WRITE IN,,0.000000
2018,19001001005,SECRETARY OF AGRICULTURE,,MIKE NAIG,REP,44.310922
2018,19001001005,SECRETARY OF AGRICULTURE,,RICK STEWART,LIB,2.236234
2018,19001001005,SECRETARY OF AGRICULTURE,,TIM GANNON,DEM,24.938792
2018,19001001005,SECRETARY OF AGRICULTURE,,WRITE IN,,0.000000
2018,19001001005,SECRETARY OF STATE,,DEIDRE DEJEAR,DEM,23.818792
2018,19001001005,SECRETARY OF STATE,,JULES OFENBAKH,LIB,1.416981
2018,19001001005,SECRETARY OF STATE,,PAUL D PATE,REP,46.541253
2018,19001001005,SECRETARY OF STATE,,WRITE IN,,0.000000
2018,19001001005,TREASURER OF STATE,,JEREMY N DAVIS,REP,33.932082
2018,19001001005,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEM,36.820806
2018,19001001005,TREASURER OF STATE,,TIMOTHY HIRD,LIB,1.206193
2018,19001001005,TREASURER OF STATE,,WRITE IN,,0.000000
2018,19001001006,ATTORNEY GENERAL,,MARCO BATTAGLIA,LIB,18.183402
2018,19001001006,ATTORNEY GENERAL,,TOM MILLER,DEM,70.629745
2018,19001001006,ATTORNEY GENERAL,,WRITE IN,,1.202208
