year,plan2_district,office,district,candidate,party,votes
2000,1,PRESIDENT,,,DEM,52391.875948
2000,1,PRESIDENT,,,GREEN,3197.064308
2000,1,PRESIDENT,,,REP,47465.461045
2000,1,PRESIDENT,,,SC,1059.994341
2000,2,PRESIDENT,,,DEM,60832.104357
2000,2,PRESIDENT,,,GREEN,2540.934716
2000,2,PRESIDENT,,,REP,49124.520849
2000,2,PRESIDENT,,,SC,598.005003
2000,3,PRESIDENT,,,DEM,62759.620460
2000,3,PRESIDENT,,,GREEN,2672.978457
2000,3,PRESIDENT,,,REP,56035.693103
2000,3,PRESIDENT,,,SC,979.999875
2000,4,PRESIDENT,,,DEM,46707.399236
2000,4,PRESIDENT,,,GREEN,2603.022519
2000,4,PRESIDENT,,,REP,54095.325003
2000,4,PRESIDENT,,,SC,963.000781
