year,vtd_id,office,district,candidate,party,votes
2000,19001001005,PRESIDENT,,,DEM,0.000000
2000,19001001005,PRESIDENT,,,GREEN,0.000000
2000,19001001005,PRESIDENT,,,REP,0.000000
2000,19001001005,PRESIDENT,,,SC,0.000000
2000,19001001006,PRESIDENT,,,DEM,0.000000
2000,19001001006,PRESIDENT,,,GREEN,0.000000
2000,19001001006,PRESIDENT,,,REP,0.000000
2000,19001001006,PRESIDENT,,,SC,0.000000
2000,19001001007,PRESIDENT,,,DEM,0.000000
2000,19001001007,PRESIDENT,,,GREEN,0.000000
2000,19001001007,PRESIDENT,,,REP,0.000000
2000,19001001007,PRESIDENT,,,SC,0.000000
2000,19001001008,PRESIDENT,,,DEM,0.000001
2000,19001001008,PRESIDENT,,,GREEN,0.000000
2000,19001001008,PRESIDENT,,,REP,0.000001
2000,19001001008,PRESIDENT,,,SC,0.000000
2000,19001001009,PRESIDENT,,,DEM,0.000000
2000,19001001009,PRESIDENT,,,GREEN,0.000000
2000,19001001009,PRESIDENT,,,REP,0.000000
2000,19001001009,PRESIDENT,,,SC,0.000000
2000,19001001011,PRESIDENT,,,DEM,0.000000
2000,19001001011,PRESIDENT,,,GREEN,0.000000
2000,19001001011,PRESIDENT,,,REP,0.000000
2000,19001001011,PRESIDENT,,,SC,0.000000
2000,19001001012,PRESIDENT,,,DEM,0.000000
2000,19001001012,PRESIDENT,,,GREEN,0.000000
2000,19001001012,PRESIDENT,,,REP,0.000000
2000,19001001012,PRESIDENT,,,SC,0.000000
2000,19001001013,PRESIDENT,,,DEM,0.000000
2000,19001001013,PRESIDENT,,,GREEN,0.000000
2000,19001001013,PRESIDENT,,,REP,0.000000
2000,19001001013,PRESIDENT,,,SC,0.000000
2000,19001001018,PRESIDENT,,,DEM,0.000000
2000,19001001018,PRESIDENT,,,GREEN,0.000000
2000,19001001018,PRESIDENT,,,REP,0.000000
2000,19001001018,PRESIDENT,,,SC,0.000000
2000,19001001019,PRESIDENT,,,DEM,0.002405
2000,19001001019,PRESIDENT,,,GREEN,0.000066
2000,19001001019,PRESIDENT,,,REP,0.002997
2000,19001001019,PRESIDENT,,,SC,0.000099
2000,19001001020,PRESIDENT,,,DEM,0.000000
2000,19001001020,PRESIDENT,,,GREEN,0.000000
2000,19001001020,PRESIDENT,,,REP,0.000000
2000,19001001020,PRESIDENT,,,SC,0.000000
2000,19001001022,PRESIDENT,,,DEM,0.000000
2000,19001001022,PRESIDENT,,,GREEN,0.000000
2000,19001001022,PRESIDENT,,,REP,0.000000
2000,19001001022,PRESIDENT,,,SC,0.000000
2000,19003003001,PRESIDENT,,,DEM,0.000000
2000,19003003001,PRESIDENT,,,GREEN,0.000000
2000,19003003001,PRESIDENT,,,REP,0.000000
2000,19003003001,PRESIDENT,,,SC,0.000000
2000,19003003002,PRESIDENT,,,DEM,0.000001
2000,19003003002,PRESIDENT,,,GREEN,0.000000
2000,19003003002,PRESIDENT,,,REP,0.000001
2000,19003003002,PRESIDENT,,,SC,0.000000
2000,19003003004,PRESIDENT,,,DEM,0.000000
2000,19003003004,PRESIDENT,,,GREEN,0.000000
2000,19003003004,PRESIDENT,,,REP,0.000000
2000,19003003004,PRESIDENT,,,SC,0.000000
2000,19003003005,PRESIDENT,,,DEM,0.000000
2000,19003003005,PRESIDENT,,,GREEN,0.000000
2000,19003003005,PRESIDENT,,,REP,0.000000
2000,19003003005,PRESIDENT,,,SC,0.000000
2000,19003003006,PRESIDENT,,,DEM,0.000000
2000,19003003006,PRESIDENT,,,GREEN,0.000000
2000,19003003006,PRESIDENT,,,REP,0.000000
2000,19003003006,PRESIDENT,,,SC,0.000000
2000,19003003009,PRESIDENT,,,DEM,0.000000
2000,19003003009,PRESIDENT,,,GREEN,0.000000
2000,19003003009,PRESIDENT,,,REP,0.000000
2000,19003003009,PRESIDENT,,,SC,0.000000
2000,19003003013,PRESIDENT,,,DEM,0.000000
2000,19003003013,PRESIDENT,,,GREEN,0.000000
2000,19003003013,PRESIDENT,,,REP,0.000000
