county,precinct,vtd_id,match_method,confidence,source_file,source_row
Adair,Absentee and Special Ballots,,election_geometry_ambiguous,0.38095238095238093,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,2
Adair,Adair Summit Casey Walnut N Eureka,,election_geometry_ambiguous,0.23255813953488372,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,18
Adair,Bridgewater Jackson Washington,,election_geometry_ambiguous,0.2727272727272727,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,34
Adair,City Of Orient Orient Union,,election_geometry_ambiguous,0.3783783783783784,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,130
Adair,Fontanelle Richland S Summerset,,election_geometry_ambiguous,0.4444444444444444,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,66
Adair,N Grand River Grove N Lee,,election_geometry_ambiguous,0.3076923076923077,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,114
Adair,S Eureka Prussia N Summerset,,election_geometry_ambiguous,0.3157894736842105,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,50
Adair,Se Greenfield & Twp S Lee Grndrvr,,election_geometry_ambiguous,0.4489795918367347,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,98
Adair,Stuart Lincoln Harrison Jefferson,,election_geometry_ambiguous,0.27906976744186046,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,146
Adair,Sw & N Greenfield,,election_geometry_ambiguous,0.6666666666666666,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,82
Adair Total,,,election_geometry_unmatched,0.0,C:\Users\Shama\OneDrive\Documents\Side_Projects\Side_Projects\IAPrecinctMap\data\2004\20041102__ia__general__precinct.csv,162
