year,plan2_district,office,district,candidate,party,votes
2016,1,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,0.000000
2016,1,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,6.999052
2016,1,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,530.928120
2016,1,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,3.999459
2016,1,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,16.997699
2016,1,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,0.000000
2016,1,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,145.980236
2016,1,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,1.999729
2016,1,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,0.000000
2016,1,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,0.000000
2016,1,PRESIDENT,,WRITE IN,OTH,7.998917
2016,1,U S SENATE,,CHARLES ALDRICH,LIB,18.997428
2016,1,U S SENATE,,CHARLES E GRASSLEY,REP,555.924736
2016,1,U S SENATE,,JIM HENNAGER,OTH,6.999052
2016,1,U S SENATE,,MICHAEL LUICK THRAMS,OTH,1.999729
2016,1,U S SENATE,,PATTY JUDGE,DEM,119.983756
2016,1,U S SENATE,,WRITE IN,OTH,0.999865
2016,10,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,10.050709
2016,10,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,1.057748
2016,10,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,916.430129
2016,10,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,10.331088
2016,10,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,53.574861
2016,10,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,0.000000
2016,10,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,563.346944
2016,10,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,10.165286
2016,10,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,5.146658
2016,10,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,0.001572
2016,10,PRESIDENT,,WRITE IN,OTH,17.784553
2016,10,U S SENATE,,CHARLES ALDRICH,LIB,52.449356
2016,10,U S SENATE,,CHARLES E GRASSLEY,REP,927.302588
2016,10,U S SENATE,,JIM HENNAGER,OTH,59.091928
2016,10,U S SENATE,,MICHAEL LUICK THRAMS,OTH,5.099735
2016,10,U S SENATE,,PATTY JUDGE,DEM,476.629305
2016,10,U S SENATE,,WRITE IN,OTH,1.097952
2016,11,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,26.410505
2016,11,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,145.257777
2016,11,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,16046.782621
2016,11,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,203.052525
2016,11,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1373.315143
2016,11,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,7.000000
2016,11,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,11534.951045
2016,11,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,139.642020
2016,11,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,35.821010
2016,11,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,14.000000
2016,11,PRESIDENT,,WRITE IN,OTH,331.694543
2016,11,U S SENATE,,CHARLES ALDRICH,LIB,833.930908
2016,11,U S SENATE,,CHARLES E GRASSLEY,REP,18490.334119
2016,11,U S SENATE,,JIM HENNAGER,OTH,278.694546
2016,11,U S SENATE,,MICHAEL LUICK THRAMS,OTH,92.231515
2016,11,U S SENATE,,PATTY JUDGE,DEM,9664.910243
2016,11,U S SENATE,,WRITE IN,OTH,27.615758
2016,12,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,30.264895
2016,12,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,130.568128
2016,12,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,18029.592418
2016,12,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,189.385324
2016,12,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,991.965333
2016,12,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,1.999996
2016,12,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,8598.179268
2016,12,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,139.249113
2016,12,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,40.225430
2016,12,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,7.001166
2016,12,PRESIDENT,,WRITE IN,OTH,255.886822
2016,12,U S SENATE,,CHARLES ALDRICH,LIB,794.930729
2016,12,U S SENATE,,CHARLES E GRASSLEY,REP,19580.783075
2016,12,U S SENATE,,JIM HENNAGER,OTH,323.457657
2016,12,U S SENATE,,MICHAEL LUICK THRAMS,OTH,69.374257
2016,12,U S SENATE,,PATTY JUDGE,DEM,7274.645409
2016,12,U S SENATE,,WRITE IN,OTH,25.791357
2016,13,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,24.736842
2016,13,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,52.736859
2016,13,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,9437.790868
2016,13,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,53.736843
2016,13,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,346.105297
2016,13,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,0.000006
2016,13,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,3644.263810
2016,13,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,83.000005
2016,13,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,17.999999
2016,13,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,3.000006
2016,13,PRESIDENT,,WRITE IN,OTH,84.473722
2016,13,U S SENATE,,CHARLES ALDRICH,LIB,280.578999
2016,13,U S SENATE,,CHARLES E GRASSLEY,REP,9271.211895
2016,13,U S SENATE,,JIM HENNAGER,OTH,179.210536
2016,13,U S SENATE,,MICHAEL LUICK THRAMS,OTH,28.000012
2016,13,U S SENATE,,PATTY JUDGE,DEM,3771.421737
2016,13,U S SENATE,,WRITE IN,OTH,10.210526
2016,14,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,11.988443
2016,14,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,73.563268
2016,14,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,11565.731117
2016,14,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,363.984130
2016,14,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1120.068939
2016,14,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,6.000006
2016,14,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,9723.756898
2016,14,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,112.605028
2016,14,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,13.996718
2016,14,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,10.993894
2016,14,PRESIDENT,,WRITE IN,OTH,349.125079
2016,14,U S SENATE,,CHARLES ALDRICH,LIB,615.779612
2016,14,U S SENATE,,CHARLES E GRASSLEY,REP,14955.957566
2016,14,U S SENATE,,JIM HENNAGER,OTH,176.200031
2016,14,U S SENATE,,MICHAEL LUICK THRAMS,OTH,61.266825
2016,14,U S SENATE,,PATTY JUDGE,DEM,7206.731041
2016,14,U S SENATE,,WRITE IN,OTH,20.987966
2016,15,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,31.974554
2016,15,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,68.986255
2016,15,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,8919.272037
2016,15,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,130.980071
2016,15,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1011.818129
2016,15,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,3.996723
2016,15,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,13995.754545
2016,15,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,200.919107
2016,15,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,25.993572
2016,15,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,15.998976
2016,15,PRESIDENT,,WRITE IN,OTH,258.990847
2016,15,U S SENATE,,CHARLES ALDRICH,LIB,803.797879
2016,15,U S SENATE,,CHARLES E GRASSLEY,REP,10948.862181
2016,15,U S SENATE,,JIM HENNAGER,OTH,299.901784
2016,15,U S SENATE,,MICHAEL LUICK THRAMS,OTH,96.953245
2016,15,U S SENATE,,PATTY JUDGE,DEM,12090.265359
2016,15,U S SENATE,,WRITE IN,OTH,50.997948
2016,16,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,8.997955
2016,16,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,34.950226
2016,16,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,4282.477894
2016,16,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,122.781120
2016,16,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,416.756200
2016,16,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,1.000839
2016,16,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,5334.033155
2016,16,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,67.927294
2016,16,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,8.000987
2016,16,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,1.995631
2016,16,PRESIDENT,,WRITE IN,OTH,155.823693
2016,16,U S SENATE,,CHARLES ALDRICH,LIB,245.835061
2016,16,U S SENATE,,CHARLES E GRASSLEY,REP,5672.360435
2016,16,U S SENATE,,JIM HENNAGER,OTH,62.987157
2016,16,U S SENATE,,MICHAEL LUICK THRAMS,OTH,24.972434
2016,16,U S SENATE,,PATTY JUDGE,DEM,4319.540250
2016,16,U S SENATE,,WRITE IN,OTH,12.000507
2016,17,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,28.994044
2016,17,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,56.010095
2016,17,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,4872.325694
2016,17,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,174.043017
2016,17,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,733.341788
2016,17,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,13.001681
2016,17,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,14472.700523
2016,17,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,261.082168
2016,17,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,30.001235
2016,17,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,9.002852
2016,17,PRESIDENT,,WRITE IN,OTH,239.077727
2016,17,U S SENATE,,CHARLES ALDRICH,LIB,629.259047
2016,17,U S SENATE,,CHARLES E GRASSLEY,REP,6601.852798
2016,17,U S SENATE,,JIM HENNAGER,OTH,270.121821
2016,17,U S SENATE,,MICHAEL LUICK THRAMS,OTH,119.047027
2016,17,U S SENATE,,PATTY JUDGE,DEM,12760.096203
2016,17,U S SENATE,,WRITE IN,OTH,52.007649
2016,18,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,34.977496
2016,18,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,63.948936
2016,18,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,7983.256354
2016,18,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,301.930483
2016,18,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1330.379001
2016,18,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,13.004159
2016,18,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,20661.347095
2016,18,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,340.855024
2016,18,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,24.992970
2016,18,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,8.000271
2016,18,PRESIDENT,,WRITE IN,OTH,391.792981
2016,18,U S SENATE,,CHARLES ALDRICH,LIB,930.588898
2016,18,U S SENATE,,CHARLES E GRASSLEY,REP,11538.895434
2016,18,U S SENATE,,JIM HENNAGER,OTH,252.860756
2016,18,U S SENATE,,MICHAEL LUICK THRAMS,OTH,116.941740
2016,18,U S SENATE,,PATTY JUDGE,DEM,17833.480357
2016,18,U S SENATE,,WRITE IN,OTH,70.938171
2016,19,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,84.589774
2016,19,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,168.744387
2016,19,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,18500.533836
2016,19,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,266.950969
2016,19,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1213.703543
2016,19,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,2.999994
2016,19,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,10516.195620
2016,19,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,142.361780
2016,19,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,57.179893
2016,19,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,7.999994
2016,19,PRESIDENT,,WRITE IN,OTH,408.310349
2016,19,U S SENATE,,CHARLES ALDRICH,LIB,805.082369
2016,19,U S SENATE,,CHARLES E GRASSLEY,REP,20726.013999
2016,19,U S SENATE,,JIM HENNAGER,OTH,518.310034
2016,19,U S SENATE,,MICHAEL LUICK THRAMS,OTH,52.769107
2016,19,U S SENATE,,PATTY JUDGE,DEM,8937.212275
2016,19,U S SENATE,,WRITE IN,OTH,28.384543
2016,2,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,1.000003
2016,2,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,50.999998
2016,2,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,9453.995998
2016,2,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,187.999904
2016,2,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,252.999956
2016,2,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,0.000000
2016,2,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,1151.999728
2016,2,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,21.000003
2016,2,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,4.999997
2016,2,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,3.000002
2016,2,PRESIDENT,,WRITE IN,OTH,75.999977
2016,2,U S SENATE,,CHARLES ALDRICH,LIB,123.000012
2016,2,U S SENATE,,CHARLES E GRASSLEY,REP,10012.995832
2016,2,U S SENATE,,JIM HENNAGER,OTH,37.999965
2016,2,U S SENATE,,MICHAEL LUICK THRAMS,OTH,12.000010
2016,2,U S SENATE,,PATTY JUDGE,DEM,862.999721
2016,2,U S SENATE,,WRITE IN,OTH,5.000006
2016,20,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,19.962845
2016,20,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,90.185788
2016,20,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,11685.848203
2016,20,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,245.889384
2016,20,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1090.769105
2016,20,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,6.992714
2016,20,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,10678.759643
2016,20,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,154.808287
2016,20,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,22.209499
2016,20,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,7.085545
2016,20,PRESIDENT,,WRITE IN,OTH,321.708652
2016,20,U S SENATE,,CHARLES ALDRICH,LIB,775.129983
2016,20,U S SENATE,,CHARLES E GRASSLEY,REP,13772.647166
2016,20,U S SENATE,,JIM HENNAGER,OTH,262.048332
2016,20,U S SENATE,,MICHAEL LUICK THRAMS,OTH,69.181181
2016,20,U S SENATE,,PATTY JUDGE,DEM,9046.224380
2016,20,U S SENATE,,WRITE IN,OTH,21.061932
2016,21,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,12.001371
2016,21,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,73.345539
2016,21,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,8832.798267
2016,21,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,305.598656
2016,21,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,952.151343
2016,21,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,2.011924
2016,21,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,7759.758539
2016,21,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,114.020115
2016,21,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,18.957909
2016,21,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,6.916409
2016,21,PRESIDENT,,WRITE IN,OTH,240.429656
2016,21,U S SENATE,,CHARLES ALDRICH,LIB,502.691033
2016,21,U S SENATE,,CHARLES E GRASSLEY,REP,11105.449785
2016,21,U S SENATE,,JIM HENNAGER,OTH,180.586432
2016,21,U S SENATE,,MICHAEL LUICK THRAMS,OTH,51.476632
2016,21,U S SENATE,,PATTY JUDGE,DEM,6235.381432
2016,21,U S SENATE,,WRITE IN,OTH,17.089228
2016,22,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,12.082800
2016,22,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,91.264583
2016,22,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,15042.074375
2016,22,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,328.993309
2016,22,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1441.376805
2016,22,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,3.985740
