year,plan2_district,office,district,candidate,party,votes
2016,1,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,733.999996
2016,1,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,1518.999945
2016,1,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,189882.995948
2016,1,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,2903.999985
2016,1,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,14750.999858
2016,1,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,100.000000
2016,1,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,177849.998873
2016,1,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,3437.999977
2016,1,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,557.999988
2016,1,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,118.000000
2016,1,PRESIDENT,,WRITE IN,OTH,4772.999977
2016,1,U S SENATE,,CHARLES ALDRICH,LIB,10822.999846
2016,1,U S SENATE,,CHARLES E GRASSLEY,REP,219344.995884
2016,1,U S SENATE,,JIM HENNAGER,OTH,4678.999962
2016,1,U S SENATE,,MICHAEL LUICK THRAMS,OTH,1156.999963
2016,1,U S SENATE,,PATTY JUDGE,DEM,152867.998921
2016,1,U S SENATE,,WRITE IN,OTH,539.000000
2016,2,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,534.999999
2016,2,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,1199.000001
2016,2,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,198955.000163
2016,2,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,2798.000003
2016,2,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,16221.000014
2016,2,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,82.000000
2016,2,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,180282.000045
2016,2,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,3102.000002
2016,2,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,612.000001
2016,2,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,113.000000
2016,2,PRESIDENT,,WRITE IN,OTH,4785.000003
2016,2,U S SENATE,,CHARLES ALDRICH,LIB,10990.000006
2016,2,U S SENATE,,CHARLES E GRASSLEY,REP,237357.000198
2016,2,U S SENATE,,JIM HENNAGER,OTH,4192.000005
2016,2,U S SENATE,,MICHAEL LUICK THRAMS,OTH,1088.000001
2016,2,U S SENATE,,PATTY JUDGE,DEM,149452.000015
2016,2,U S SENATE,,WRITE IN,OTH,349.000000
2016,3,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,378.000003
2016,3,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,1237.000054
2016,3,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,177109.003909
2016,3,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,3397.000014
2016,3,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,14871.000137
2016,3,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,70.000000
2016,3,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,165874.001051
2016,3,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,2523.000022
2016,3,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,390.000011
2016,3,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,112.000000
2016,3,PRESIDENT,,WRITE IN,OTH,4265.000020
2016,3,U S SENATE,,CHARLES ALDRICH,LIB,10205.000151
2016,3,U S SENATE,,CHARLES E GRASSLEY,REP,210612.003960
2016,3,U S SENATE,,JIM HENNAGER,OTH,3734.000035
2016,3,U S SENATE,,MICHAEL LUICK THRAMS,OTH,1141.000036
2016,3,U S SENATE,,PATTY JUDGE,DEM,138774.001011
2016,3,U S SENATE,,WRITE IN,OTH,477.000000
2016,4,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,599.000001
2016,4,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,1380.000000
2016,4,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,235035.999980
2016,4,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,3266.999998
2016,4,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,13342.999991
2016,4,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,71.000000
2016,4,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,129663.000031
2016,4,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,2416.000000
2016,4,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,687.000000
2016,4,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,108.000000
2016,4,PRESIDENT,,WRITE IN,OTH,3923.000000
2016,4,U S SENATE,,CHARLES ALDRICH,LIB,9775.999998
2016,4,U S SENATE,,CHARLES E GRASSLEY,REP,258692.999958
2016,4,U S SENATE,,JIM HENNAGER,OTH,5043.999999
2016,4,U S SENATE,,MICHAEL LUICK THRAMS,OTH,1054.999999
2016,4,U S SENATE,,PATTY JUDGE,DEM,108366.000053
2016,4,U S SENATE,,WRITE IN,OTH,320.000000
