year,plan2_district,office,district,candidate,party,votes
2016,1,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,89.018604
2016,1,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,105.010184
2016,1,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,11658.502194
2016,1,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,131.017712
2016,1,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,659.113554
2016,1,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,6.000165
2016,1,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,10197.700103
2016,1,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,188.056492
2016,1,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,45.025146
2016,1,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,8.003489
2016,1,PRESIDENT,,WRITE IN,OTH,350.040893
2016,1,U S SENATE,,CHARLES ALDRICH,LIB,563.109651
2016,1,U S SENATE,,CHARLES E GRASSLEY,REP,13087.737198
2016,1,U S SENATE,,JIM HENNAGER,OTH,463.079381
2016,1,U S SENATE,,MICHAEL LUICK THRAMS,OTH,58.005939
2016,1,U S SENATE,,PATTY JUDGE,DEM,8823.467607
2016,1,U S SENATE,,WRITE IN,OTH,23.007945
2016,10,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,112.613433
2016,10,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,54.655992
2016,10,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,13171.995900
2016,10,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,155.190533
2016,10,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,942.954970
2016,10,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,2.998395
2016,10,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,10508.840496
2016,10,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,236.266004
2016,10,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,101.949141
2016,10,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,4.998918
2016,10,PRESIDENT,,WRITE IN,OTH,276.583806
2016,10,U S SENATE,,CHARLES ALDRICH,LIB,871.757778
2016,10,U S SENATE,,CHARLES E GRASSLEY,REP,13886.605707
2016,10,U S SENATE,,JIM HENNAGER,OTH,926.818738
2016,10,U S SENATE,,MICHAEL LUICK THRAMS,OTH,109.656334
2016,10,U S SENATE,,PATTY JUDGE,DEM,8936.249827
2016,10,U S SENATE,,WRITE IN,OTH,35.608735
2016,11,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,27.407248
2016,11,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,156.239862
2016,11,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,17833.927529
2016,11,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,222.036238
2016,11,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1482.217428
2016,11,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,7.000000
2016,11,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,12484.911986
2016,11,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,148.628991
2016,11,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,37.814495
2016,11,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,15.000000
2016,11,PRESIDENT,,WRITE IN,OTH,362.665228
2016,11,U S SENATE,,CHARLES ALDRICH,LIB,910.828299
2016,11,U S SENATE,,CHARLES E GRASSLEY,REP,20448.308027
2016,11,U S SENATE,,JIM HENNAGER,OTH,301.665229
2016,11,U S SENATE,,MICHAEL LUICK THRAMS,OTH,100.221743
2016,11,U S SENATE,,PATTY JUDGE,DEM,10494.069885
2016,11,U S SENATE,,WRITE IN,OTH,29.610871
2016,12,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,34.497122
2016,12,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,144.900329
2016,12,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,19932.880088
2016,12,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,199.302934
2016,12,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1074.955858
2016,12,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,3.000012
2016,12,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,9484.924084
2016,12,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,162.771475
2016,12,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,42.414900
2016,12,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,7.003937
2016,12,PRESIDENT,,WRITE IN,OTH,290.702369
2016,12,U S SENATE,,CHARLES ALDRICH,LIB,859.276178
2016,12,U S SENATE,,CHARLES E GRASSLEY,REP,21630.704666
2016,12,U S SENATE,,JIM HENNAGER,OTH,352.679823
2016,12,U S SENATE,,MICHAEL LUICK THRAMS,OTH,75.411324
2016,12,U S SENATE,,PATTY JUDGE,DEM,8029.735273
2016,12,U S SENATE,,WRITE IN,OTH,26.657969
2016,13,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,63.782495
2016,13,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,110.782546
2016,13,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,17843.799361
2016,13,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,123.782507
2016,13,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,703.607551
2016,13,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,3.000000
2016,13,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,9329.555318
2016,13,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,202.000022
2016,13,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,46.000011
2016,13,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,7.000000
2016,13,PRESIDENT,,WRITE IN,OTH,211.565004
2016,13,U S SENATE,,CHARLES ALDRICH,LIB,620.172548
2016,13,U S SENATE,,CHARLES E GRASSLEY,REP,17757.494368
2016,13,U S SENATE,,JIM HENNAGER,OTH,430.347511
2016,13,U S SENATE,,MICHAEL LUICK THRAMS,OTH,64.000036
2016,13,U S SENATE,,PATTY JUDGE,DEM,9207.165371
2016,13,U S SENATE,,WRITE IN,OTH,26.347476
2016,14,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,12.480372
2016,14,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,75.794028
2016,14,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,11556.468185
2016,14,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,359.765869
2016,14,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1131.679692
2016,14,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,6.010603
2016,14,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,9726.407482
2016,14,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,112.072790
2016,14,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,13.673976
2016,14,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,10.336022
2016,14,PRESIDENT,,WRITE IN,OTH,351.269877
2016,14,U S SENATE,,CHARLES ALDRICH,LIB,628.547345
2016,14,U S SENATE,,CHARLES E GRASSLEY,REP,14953.646177
2016,14,U S SENATE,,JIM HENNAGER,OTH,171.697117
2016,14,U S SENATE,,MICHAEL LUICK THRAMS,OTH,59.725077
2016,14,U S SENATE,,PATTY JUDGE,DEM,7217.735188
2016,14,U S SENATE,,WRITE IN,OTH,21.032950
2016,15,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,32.049732
2016,15,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,69.815590
2016,15,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,8848.756722
2016,15,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,130.621744
2016,15,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1012.532845
2016,15,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,3.826339
2016,15,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,13984.563359
2016,15,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,201.749955
2016,15,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,25.887029
2016,15,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,15.999498
2016,15,PRESIDENT,,WRITE IN,OTH,258.931281
2016,15,U S SENATE,,CHARLES ALDRICH,LIB,807.519430
2016,15,U S SENATE,,CHARLES E GRASSLEY,REP,10872.655816
2016,15,U S SENATE,,JIM HENNAGER,OTH,300.376351
2016,15,U S SENATE,,MICHAEL LUICK THRAMS,OTH,97.189758
2016,15,U S SENATE,,PATTY JUDGE,DEM,12080.471906
2016,15,U S SENATE,,WRITE IN,OTH,51.457006
2016,16,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,25.593055
2016,16,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,76.679560
2016,16,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,14581.921350
2016,16,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,409.729678
2016,16,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1531.558344
2016,16,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,6.003801
2016,16,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,18267.822487
2016,16,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,247.134487
2016,16,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,34.254790
2016,16,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,8.640759
2016,16,PRESIDENT,,WRITE IN,OTH,488.118153
2016,16,U S SENATE,,CHARLES ALDRICH,LIB,890.819845
2016,16,U S SENATE,,CHARLES E GRASSLEY,REP,19185.239767
2016,16,U S SENATE,,JIM HENNAGER,OTH,275.458411
2016,16,U S SENATE,,MICHAEL LUICK THRAMS,OTH,103.447171
2016,16,U S SENATE,,PATTY JUDGE,DEM,14779.389106
2016,16,U S SENATE,,WRITE IN,OTH,44.935960
2016,17,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,30.810832
2016,17,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,64.046903
2016,17,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,5849.087552
2016,17,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,187.369855
2016,17,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,872.777406
2016,17,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,12.760535
2016,17,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,16022.056902
2016,17,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,288.099227
2016,17,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,32.213909
2016,17,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,9.926449
2016,17,PRESIDENT,,WRITE IN,OTH,277.206807
2016,17,U S SENATE,,CHARLES ALDRICH,LIB,743.520356
2016,17,U S SENATE,,CHARLES E GRASSLEY,REP,7783.957857
2016,17,U S SENATE,,JIM HENNAGER,OTH,307.622755
2016,17,U S SENATE,,MICHAEL LUICK THRAMS,OTH,140.355680
2016,17,U S SENATE,,PATTY JUDGE,DEM,14109.448825
2016,17,U S SENATE,,WRITE IN,OTH,57.055087
2016,18,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,37.545268
2016,18,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,72.080382
2016,18,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,8764.786846
2016,18,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,329.811826
2016,18,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1409.034916
2016,18,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,13.464213
2016,18,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,21984.766466
2016,18,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,358.273253
2016,18,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,28.879683
