year,county,office,district,candidate,party,votes
2022,ADAIR,ATTORNEY GENERAL,,BRENNA BIRD,REP,1922.000000
2022,ADAIR,ATTORNEY GENERAL,,TOM MILLER,DEM,1173.000000
2022,ADAIR,ATTORNEY GENERAL,,WRITE IN,,4.000000
2022,ADAIR,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,761.000000
2022,ADAIR,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,2333.000000
2022,ADAIR,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,79.000000
2022,ADAIR,GOVERNOR,,WRITE IN,,1.000000
2022,ADAIR,SECRETARY OF STATE,,JOEL MILLER,DEM,698.000000
2022,ADAIR,SECRETARY OF STATE,,PAUL D PATE,REP,2416.000000
2022,ADAIR,SECRETARY OF STATE,,WRITE IN,,2.000000
2022,ADAIR,U S SENATE,,CHUCK GRASSLEY,REP,2279.000000
2022,ADAIR,U S SENATE,,MICHAEL FRANKEN,DEM,887.000000
2022,ADAIR,U S SENATE,,WRITE IN,,3.000000
2022,ADAMS,ATTORNEY GENERAL,,BRENNA BIRD,REP,1044.000000
2022,ADAMS,ATTORNEY GENERAL,,TOM MILLER,DEM,593.000000
2022,ADAMS,ATTORNEY GENERAL,,WRITE IN,,0.000000
2022,ADAMS,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,381.000000
2022,ADAMS,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,1241.000000
2022,ADAMS,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,48.000000
2022,ADAMS,GOVERNOR,,WRITE IN,,3.000000
2022,ADAMS,SECRETARY OF STATE,,JOEL MILLER,DEM,417.000000
2022,ADAMS,SECRETARY OF STATE,,PAUL D PATE,REP,1224.000000
2022,ADAMS,SECRETARY OF STATE,,WRITE IN,,2.000000
2022,ADAMS,U S SENATE,,CHUCK GRASSLEY,REP,1167.000000
2022,ADAMS,U S SENATE,,MICHAEL FRANKEN,DEM,467.000000
2022,ADAMS,U S SENATE,,WRITE IN,,3.000000
2022,ALLAMAKEE,ATTORNEY GENERAL,,BRENNA BIRD,REP,3422.000000
2022,ALLAMAKEE,ATTORNEY GENERAL,,TOM MILLER,DEM,2268.000000
2022,ALLAMAKEE,ATTORNEY GENERAL,,WRITE IN,,6.000000
2022,ALLAMAKEE,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,1579.000000
2022,ALLAMAKEE,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,4100.000000
2022,ALLAMAKEE,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,115.000000
2022,ALLAMAKEE,GOVERNOR,,WRITE IN,,0.000000
2022,ALLAMAKEE,SECRETARY OF STATE,,JOEL MILLER,DEM,1725.000000
2022,ALLAMAKEE,SECRETARY OF STATE,,PAUL D PATE,REP,3983.000000
2022,ALLAMAKEE,SECRETARY OF STATE,,WRITE IN,,1.000000
2022,ALLAMAKEE,U S SENATE,,CHUCK GRASSLEY,REP,3806.000000
2022,ALLAMAKEE,U S SENATE,,MICHAEL FRANKEN,DEM,1934.000000
2022,ALLAMAKEE,U S SENATE,,WRITE IN,,2.000000
2022,APPANOOSE,ATTORNEY GENERAL,,BRENNA BIRD,REP,3049.000000
2022,APPANOOSE,ATTORNEY GENERAL,,TOM MILLER,DEM,1608.000000
2022,APPANOOSE,ATTORNEY GENERAL,,WRITE IN,,1.000000
2022,APPANOOSE,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,1134.000000
2022,APPANOOSE,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,3432.000000
2022,APPANOOSE,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,133.000000
2022,APPANOOSE,GOVERNOR,,WRITE IN,,1.000000
