source_precinct_id,source_county,source_precinct,target_district,target_name,share,method
ADAIR - 1NW ADAIR,Adair,1NW Adair,18,18|-0.45%,0.000000013580,vtd20_to_plan2_composed
ADAIR - 1NW ADAIR,Adair,1NW Adair,23,23|-0.21%,0.999999984616,vtd20_to_plan2_composed
ADAIR - 1NW ADAIR,Adair,1NW Adair,47,47|-0.23%,0.000000001804,vtd20_to_plan2_composed
ADAIR - 2NE STUART,Adair,2NE Stuart,23,23|-0.21%,0.999999989407,vtd20_to_plan2_composed
ADAIR - 2NE STUART,Adair,2NE Stuart,47,47|-0.23%,0.000000010593,vtd20_to_plan2_composed
ADAIR - 3SW FONTANELLE,Adair,3SW Fontanelle,17,17|-0.49%,0.000000000561,vtd20_to_plan2_composed
ADAIR - 3SW FONTANELLE,Adair,3SW Fontanelle,18,18|-0.45%,0.000000000662,vtd20_to_plan2_composed
ADAIR - 3SW FONTANELLE,Adair,3SW Fontanelle,23,23|-0.21%,0.999999998777,vtd20_to_plan2_composed
ADAIR - 4SE ORIENT,Adair,4SE Orient,17,17|-0.49%,0.000000000399,vtd20_to_plan2_composed
ADAIR - 4SE ORIENT,Adair,4SE Orient,23,23|-0.21%,0.999999999601,vtd20_to_plan2_composed
ADAIR - 5GF GREENFIELD,Adair,5GF Greenfield,23,23|-0.21%,1.000000000000,vtd20_to_plan2_composed
ADAMS - ADAMS 1,Adams,Adams 1,17,17|-0.49%,1.000000000000,vtd20_to_plan2_composed
ADAMS - ADAMS 2,Adams,Adams 2,17,17|-0.49%,1.000000000000,vtd20_to_plan2_composed
ADAMS - ADAMS 3,Adams,Adams 3,17,17|-0.49%,1.000000000000,vtd20_to_plan2_composed
ADAMS - ADAMS 4,Adams,Adams 4,17,17|-0.49%,0.999999857237,vtd20_to_plan2_composed
ADAMS - ADAMS 4,Adams,Adams 4,18,18|-0.45%,0.000000131467,vtd20_to_plan2_composed
ADAMS - ADAMS 4,Adams,Adams 4,23,23|-0.21%,0.000000011296,vtd20_to_plan2_composed
ADAMS - ADAMS 5,Adams,Adams 5,17,17|-0.49%,1.000000000000,vtd20_to_plan2_composed
ALLAMAKEE - PCT 01 - WL/HV,Allamakee,Pct 01 - WL/HV,63,63|-0.1%,0.000000310554,vtd20_to_plan2_composed
ALLAMAKEE - PCT 01 - WL/HV,Allamakee,Pct 01 - WL/HV,64,64|0.05%,0.999999689446,vtd20_to_plan2_composed
ALLAMAKEE - PCT 02 - FC/JF/LL/MK/UP,Allamakee,Pct 02 - FC/JF/LL/MK/UP,63,63|-0.1%,0.000000065102,vtd20_to_plan2_composed
ALLAMAKEE - PCT 02 - FC/JF/LL/MK/UP,Allamakee,Pct 02 - FC/JF/LL/MK/UP,64,64|0.05%,0.999999934898,vtd20_to_plan2_composed
ALLAMAKEE - PCT 03 - PO/FK,Allamakee,Pct 03 - PO/FK,63,63|-0.1%,0.000000012930,vtd20_to_plan2_composed
ALLAMAKEE - PCT 03 - PO/FK,Allamakee,Pct 03 - PO/FK,64,64|0.05%,0.999999987070,vtd20_to_plan2_composed
ALLAMAKEE - PCT 04 - PV CITY,Allamakee,Pct 04 - PV City,64,64|0.05%,1.000000000000,vtd20_to_plan2_composed
ALLAMAKEE - PCT 05 - LT/PC/WV CITY,Allamakee,Pct 05 - LT/PC/WV City,64,64|0.05%,1.000000000000,vtd20_to_plan2_composed
ALLAMAKEE - PCT 06 - FV/TL/HF CITY,Allamakee,Pct 06 - FV/TL/HF City,64,64|0.05%,1.000000000000,vtd20_to_plan2_composed
ALLAMAKEE - PCT 07 - CN/LF/LS/LS CITY,Allamakee,Pct 07 - CN/LF/LS/LS City,64,64|0.05%,1.000000000000,vtd20_to_plan2_composed
ALLAMAKEE - PCT 08 - IA/UC/NA CITY,Allamakee,Pct 08 - IA/UC/NA City,64,64|0.05%,1.000000000000,vtd20_to_plan2_composed
ALLAMAKEE - PCT 09 - WAUKON 1,Allamakee,Pct 09 - Waukon 1,64,64|0.05%,1.000000000000,vtd20_to_plan2_composed
ALLAMAKEE - PCT 10 - WAUKON 2,Allamakee,Pct 10 - Waukon 2,64,64|0.05%,1.000000000000,vtd20_to_plan2_composed
ALLAMAKEE - PCT 11 - WAUKON 3,Allamakee,Pct 11 - Waukon 3,64,64|0.05%,1.000000000000,vtd20_to_plan2_composed
APPANOOSE - BELLAIR/LINCOLN,Appanoose,Bellair/Lincoln,24,24|-0.43%,0.499427518220,vtd20_to_plan2_composed
APPANOOSE - BELLAIR/LINCOLN,Appanoose,Bellair/Lincoln,26,26|-0.43%,0.500572481780,vtd20_to_plan2_composed
APPANOOSE - CALDWELL TOWNSHIP,Appanoose,Caldwell Township,26,26|-0.43%,1.000000000000,vtd20_to_plan2_composed
APPANOOSE - CENTERVILLE WARD 1,Appanoose,Centerville Ward 1,26,26|-0.43%,1.000000000000,vtd20_to_plan2_composed
APPANOOSE - CENTERVILLE WARD 2,Appanoose,Centerville Ward 2,26,26|-0.43%,1.000000000000,vtd20_to_plan2_composed
APPANOOSE - CENTERVILLE WARD 3,Appanoose,Centerville Ward 3,26,26|-0.43%,1.000000000000,vtd20_to_plan2_composed
APPANOOSE - JOHNS/INDEPENDENCE,Appanoose,Johns/Independence,24,24|-0.43%,0.999999637070,vtd20_to_plan2_composed
APPANOOSE - JOHNS/INDEPENDENCE,Appanoose,Johns/Independence,26,26|-0.43%,0.000000362930,vtd20_to_plan2_composed
APPANOOSE - PLEASANT/FRANKLIN,Appanoose,Pleasant/Franklin,24,24|-0.43%,0.000000079319,vtd20_to_plan2_composed
APPANOOSE - PLEASANT/FRANKLIN,Appanoose,Pleasant/Franklin,26,26|-0.43%,0.999999920681,vtd20_to_plan2_composed
APPANOOSE - TAYLOR/CHARITON,Appanoose,Taylor/Chariton,24,24|-0.43%,0.000000011439,vtd20_to_plan2_composed
APPANOOSE - TAYLOR/CHARITON,Appanoose,Taylor/Chariton,26,26|-0.43%,0.999999988561,vtd20_to_plan2_composed
APPANOOSE - UNION/UDELL TOWNSHIP,Appanoose,Union/Udell Township,26,26|-0.43%,1.000000000000,vtd20_to_plan2_composed
APPANOOSE - VERMILLION/DOUGLAS/SHARON,Appanoose,Vermillion/Douglas/Sharon,26,26|-0.43%,1.000000000000,vtd20_to_plan2_composed
APPANOOSE - WALNUT,Appanoose,Walnut,24,24|-0.43%,0.000000000797,vtd20_to_plan2_composed
APPANOOSE - WALNUT,Appanoose,Walnut,26,26|-0.43%,0.999999999203,vtd20_to_plan2_composed
APPANOOSE - WASHINGTON/WELLS,Appanoose,Washington/Wells,26,26|-0.43%,1.000000000000,vtd20_to_plan2_composed
AUDUBON - PRECINCT 1,Audubon,Precinct 1,11,11|0.27%,0.999999999457,vtd20_to_plan2_composed
AUDUBON - PRECINCT 1,Audubon,Precinct 1,12,12|-0.27%,0.000000000370,vtd20_to_plan2_composed
AUDUBON - PRECINCT 1,Audubon,Precinct 1,47,47|-0.23%,0.000000000173,vtd20_to_plan2_composed
AUDUBON - PRECINCT 2,Audubon,Precinct 2,11,11|0.27%,0.999999929348,vtd20_to_plan2_composed
AUDUBON - PRECINCT 2,Audubon,Precinct 2,18,18|-0.45%,0.000000025324,vtd20_to_plan2_composed
AUDUBON - PRECINCT 2,Audubon,Precinct 2,23,23|-0.21%,0.000000000000,vtd20_to_plan2_composed
AUDUBON - PRECINCT 2,Audubon,Precinct 2,47,47|-0.23%,0.000000045328,vtd20_to_plan2_composed
BENTON - BELLE PLAINE 1,Benton,Belle Plaine 1,84,84|-0.87%,1.000000000000,vtd20_to_plan2_composed
BENTON - BELLE PLAINE 2,Benton,Belle Plaine 2,84,84|-0.87%,1.000000000000,vtd20_to_plan2_composed
BENTON - BELLE PLAINE 3,Benton,Belle Plaine 3,53,53|-0.39%,0.000000148923,vtd20_to_plan2_composed
BENTON - BELLE PLAINE 3,Benton,Belle Plaine 3,84,84|-0.87%,0.999999851077,vtd20_to_plan2_composed
BENTON - BENTON-CANTON-SHELLSBURG,Benton,Benton-Canton-Shellsburg,83,83|-0.53%,0.001329940593,vtd20_to_plan2_composed
BENTON - BENTON-CANTON-SHELLSBURG,Benton,Benton-Canton-Shellsburg,84,84|-0.87%,0.998670059407,vtd20_to_plan2_composed
BENTON - BIG GROVE-UNION-VAN HORNE,Benton,Big Grove-Union-Van Horne,76,76|-0.87%,0.000000000000,vtd20_to_plan2_composed
BENTON - BIG GROVE-UNION-VAN HORNE,Benton,Big Grove-Union-Van Horne,84,84|-0.87%,1.000000000000,vtd20_to_plan2_composed
BENTON - BRUCE-CEDAR-MT AUBURN,Benton,Bruce-Cedar-Mt Auburn,67,67|-0.57%,0.000000000021,vtd20_to_plan2_composed
BENTON - BRUCE-CEDAR-MT AUBURN,Benton,Bruce-Cedar-Mt Auburn,76,76|-0.87%,0.999999998993,vtd20_to_plan2_composed
BENTON - BRUCE-CEDAR-MT AUBURN,Benton,Bruce-Cedar-Mt Auburn,84,84|-0.87%,0.000000000986,vtd20_to_plan2_composed
BENTON - EDEN-HARRISON-TAYLOR,Benton,Eden-Harrison-Taylor,67,67|-0.57%,0.000000035027,vtd20_to_plan2_composed
BENTON - EDEN-HARRISON-TAYLOR,Benton,Eden-Harrison-Taylor,76,76|-0.87%,0.000000000559,vtd20_to_plan2_composed
BENTON - EDEN-HARRISON-TAYLOR,Benton,Eden-Harrison-Taylor,84,84|-0.87%,0.999999964414,vtd20_to_plan2_composed
BENTON - ELDORADO-NEWHALL,Benton,Eldorado-Newhall,84,84|-0.87%,1.000000000000,vtd20_to_plan2_composed
BENTON - FLORENCE-ST CLAIR-NORWAY,Benton,Florence-St Clair-Norway,84,84|-0.87%,0.999999993303,vtd20_to_plan2_composed
BENTON - FLORENCE-ST CLAIR-NORWAY,Benton,Florence-St Clair-Norway,91,91|0.41%,0.000000006697,vtd20_to_plan2_composed
BENTON - FREMONT-ATKINS,Benton,Fremont-Atkins,84,84|-0.87%,1.000000000000,vtd20_to_plan2_composed
BENTON - HOMER-MONROE-JACKSON-GARRISON,Benton,Homer-Monroe-Jackson-Garrison,53,53|-0.39%,0.000000000220,vtd20_to_plan2_composed
BENTON - HOMER-MONROE-JACKSON-GARRISON,Benton,Homer-Monroe-Jackson-Garrison,76,76|-0.87%,0.335744059633,vtd20_to_plan2_composed
BENTON - HOMER-MONROE-JACKSON-GARRISON,Benton,Homer-Monroe-Jackson-Garrison,84,84|-0.87%,0.664255940147,vtd20_to_plan2_composed
BENTON - IOWA-LEROY-LUZERNE-BLAIRSTOWN,Benton,Iowa-Leroy-Luzerne-Blairstown,53,53|-0.39%,0.000000000307,vtd20_to_plan2_composed
BENTON - IOWA-LEROY-LUZERNE-BLAIRSTOWN,Benton,Iowa-Leroy-Luzerne-Blairstown,84,84|-0.87%,0.999999998794,vtd20_to_plan2_composed
BENTON - IOWA-LEROY-LUZERNE-BLAIRSTOWN,Benton,Iowa-Leroy-Luzerne-Blairstown,91,91|0.41%,0.000000000899,vtd20_to_plan2_composed
BENTON - KANE-KEYSTONE,Benton,Kane-Keystone,53,53|-0.39%,0.000000000553,vtd20_to_plan2_composed
BENTON - KANE-KEYSTONE,Benton,Kane-Keystone,84,84|-0.87%,0.999999999447,vtd20_to_plan2_composed
BENTON - POLK-URBANA,Benton,Polk-Urbana,67,67|-0.57%,0.000000000876,vtd20_to_plan2_composed
BENTON - POLK-URBANA,Benton,Polk-Urbana,83,83|-0.53%,0.000864469436,vtd20_to_plan2_composed
BENTON - POLK-URBANA,Benton,Polk-Urbana,84,84|-0.87%,0.999135529688,vtd20_to_plan2_composed
BENTON - VINTON 1,Benton,Vinton 1,84,84|-0.87%,1.000000000000,vtd20_to_plan2_composed
BENTON - VINTON 2,Benton,Vinton 2,84,84|-0.87%,1.000000000000,vtd20_to_plan2_composed
BENTON - VINTON 3,Benton,Vinton 3,84,84|-0.87%,1.000000000000,vtd20_to_plan2_composed
BENTON - VINTON 4,Benton,Vinton 4,84,84|-0.87%,1.000000000000,vtd20_to_plan2_composed
BENTON - WALFORD,Benton,Walford,84,84|-0.87%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - BARCLAY LESTER DUNKERTON,Black Hawk,Barclay Lester Dunkerton,58,58|0.88%,0.000000018973,vtd20_to_plan2_composed
BLACK HAWK - BARCLAY LESTER DUNKERTON,Black Hawk,Barclay Lester Dunkerton,68,68|-0.49%,0.999999981027,vtd20_to_plan2_composed
BLACK HAWK - BENNINGTON,Black Hawk,Bennington,57,57|0.04%,0.000000000000,vtd20_to_plan2_composed
BLACK HAWK - BENNINGTON,Black Hawk,Bennington,58,58|0.88%,0.000000000455,vtd20_to_plan2_composed
BLACK HAWK - BENNINGTON,Black Hawk,Bennington,68,68|-0.49%,0.999999999545,vtd20_to_plan2_composed
BLACK HAWK - BIG CREEK LA PORTE,Black Hawk,Big Creek La Porte,67,67|-0.57%,0.000000000018,vtd20_to_plan2_composed
BLACK HAWK - BIG CREEK LA PORTE,Black Hawk,Big Creek La Porte,76,76|-0.87%,0.999999999982,vtd20_to_plan2_composed
BLACK HAWK - BLACK HAWK HUDSON LINCOLN,Black Hawk,Black Hawk Hudson Lincoln,54,54|-0.13%,0.875011141609,vtd20_to_plan2_composed
BLACK HAWK - BLACK HAWK HUDSON LINCOLN,Black Hawk,Black Hawk Hudson Lincoln,76,76|-0.87%,0.124988858391,vtd20_to_plan2_composed
BLACK HAWK - CEDAR ORANGE,Black Hawk,Cedar Orange,54,54|-0.13%,0.000000067985,vtd20_to_plan2_composed
BLACK HAWK - CEDAR ORANGE,Black Hawk,Cedar Orange,61,61|0.7%,0.003914540704,vtd20_to_plan2_composed
BLACK HAWK - CEDAR ORANGE,Black Hawk,Cedar Orange,76,76|-0.87%,0.996085391311,vtd20_to_plan2_composed
BLACK HAWK - CF W1 P1,Black Hawk,CF W1 P1,54,54|-0.13%,0.001669972764,vtd20_to_plan2_composed
BLACK HAWK - CF W1 P1,Black Hawk,CF W1 P1,62,62|0.87%,0.000120011338,vtd20_to_plan2_composed
BLACK HAWK - CF W1 P1,Black Hawk,CF W1 P1,68,68|-0.49%,0.001026889358,vtd20_to_plan2_composed
BLACK HAWK - CF W1 P1,Black Hawk,CF W1 P1,75,75|-0.46%,0.997183126539,vtd20_to_plan2_composed
BLACK HAWK - CF W1 P2,Black Hawk,CF W1 P2,75,75|-0.46%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - CF W1 P3,Black Hawk,CF W1 P3,75,75|-0.46%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - CF W2 P1,Black Hawk,CF W2 P1,54,54|-0.13%,0.008546458600,vtd20_to_plan2_composed
BLACK HAWK - CF W2 P1,Black Hawk,CF W2 P1,75,75|-0.46%,0.991453537140,vtd20_to_plan2_composed
BLACK HAWK - CF W2 P1,Black Hawk,CF W2 P1,76,76|-0.87%,0.000000004260,vtd20_to_plan2_composed
BLACK HAWK - CF W2 P2 & CF TWP,Black Hawk,CF W2 P2 & CF Twp,54,54|-0.13%,0.849839641091,vtd20_to_plan2_composed
BLACK HAWK - CF W2 P2 & CF TWP,Black Hawk,CF W2 P2 & CF Twp,75,75|-0.46%,0.005660707651,vtd20_to_plan2_composed
BLACK HAWK - CF W2 P2 & CF TWP,Black Hawk,CF W2 P2 & CF Twp,76,76|-0.87%,0.144499651258,vtd20_to_plan2_composed
BLACK HAWK - CF W2 P3,Black Hawk,CF W2 P3,61,61|0.7%,0.000252426953,vtd20_to_plan2_composed
BLACK HAWK - CF W2 P3,Black Hawk,CF W2 P3,62,62|0.87%,0.000072016073,vtd20_to_plan2_composed
BLACK HAWK - CF W2 P3,Black Hawk,CF W2 P3,75,75|-0.46%,0.000000134749,vtd20_to_plan2_composed
BLACK HAWK - CF W2 P3,Black Hawk,CF W2 P3,76,76|-0.87%,0.999675422225,vtd20_to_plan2_composed
BLACK HAWK - CF W3 P1,Black Hawk,CF W3 P1,54,54|-0.13%,0.000055146776,vtd20_to_plan2_composed
BLACK HAWK - CF W3 P1,Black Hawk,CF W3 P1,75,75|-0.46%,0.999944853224,vtd20_to_plan2_composed
BLACK HAWK - CF W3 P2,Black Hawk,CF W3 P2,54,54|-0.13%,0.000000633410,vtd20_to_plan2_composed
BLACK HAWK - CF W3 P2,Black Hawk,CF W3 P2,75,75|-0.46%,0.999999366590,vtd20_to_plan2_composed
BLACK HAWK - CF W3 P3,Black Hawk,CF W3 P3,75,75|-0.46%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - CF W4 P1,Black Hawk,CF W4 P1,62,62|0.87%,0.000812784940,vtd20_to_plan2_composed
BLACK HAWK - CF W4 P1,Black Hawk,CF W4 P1,75,75|-0.46%,0.999187214357,vtd20_to_plan2_composed
BLACK HAWK - CF W4 P1,Black Hawk,CF W4 P1,76,76|-0.87%,0.000000000703,vtd20_to_plan2_composed
BLACK HAWK - CF W4 P2,Black Hawk,CF W4 P2,75,75|-0.46%,0.999999988449,vtd20_to_plan2_composed
BLACK HAWK - CF W4 P2,Black Hawk,CF W4 P2,76,76|-0.87%,0.000000011551,vtd20_to_plan2_composed
