district,CVAP_TOT24
1,20265
2,22704
3,22953
4,21778
5,22842
6,21480
7,24278
8,24372
9,24201
10,25090
11,23902
12,22417
13,24098
14,22243
15,23829
16,24592
17,24314
18,24476
19,24402
20,23119
21,24784
22,24494
23,23980
24,23955
25,22206
26,23669
27,24962
28,24654
29,20744
30,22296
31,24378
32,22803
33,20192
34,21611
35,23108
36,25396
37,23802
38,24699
39,23382
40,24778
41,25797
42,23045
43,22138
44,23413
45,24617
46,21849
47,23876
48,25688
49,27162
50,25212
51,24144
52,20491
53,23664
54,24477
55,22642
56,23140
57,24364
58,24328
59,24272
60,24963
61,23687
62,22029
63,24602
64,23969
65,22933
66,25283
67,24434
68,23719
69,24908
70,23044
71,25178
72,24223
73,23418
74,23842
75,26090
76,23853
77,23673
78,24546
79,24385
80,24066
81,23784
82,24475
83,23640
84,24606
85,23344
86,23878
87,23547
88,24646
89,25397
90,27487
91,24740
92,23298
93,22894
94,23431
95,23498
96,22577
97,24580
98,24842
99,24478
100,24219
