district,CVAP_TOT24
1,42968
2,44731
3,44322
4,48643
5,49287
6,46320
7,46338
8,48424
9,48788
10,47518
11,49278
12,47935
13,45873
14,49614
15,43038
16,47180
17,41806
18,48500
19,48500
20,48161
21,48845
22,45554
23,46464
24,49566
25,52377
26,44637
27,48138
28,45781
29,48686
30,49232
31,45719
32,48573
33,48216
34,48156
35,47951
36,49401
37,47258
38,49942
39,48212
40,48445
41,48259
42,48249
43,47221
44,48194
45,52881
46,48045
47,46325
48,46073
49,49427
50,48692
